Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
CPO Europe,Bulk Carrier,94250,179448,2010,292,In Service,Reederei C-P Offen,Reederei C-P Offen,Reederei C-P Offen,Liberia,,IFO 180,Diesel 2-Stroke,,,2280,18660,IFO 380,,15.4,67.2,,100,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,11,18.22,45,MAN Energy Solutions,South Korea,Germany,1192,Bulkers,37
Captain J. Papadakis,Bulk Carrier,94250,179558,2011,292,In Service,Marmaras Navigation,Marmaras Navigation,Marmaras Navigation,Liberia,Fitted,IFO 380,Diesel 2-Stroke,,,,18647,IFO 380,,,,,98,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.4,18.2,45,MAN Energy Solutions,Romania,Greece,1051,Bulkers,
Navios Bonavis,Bulk Carrier,94232,180022,2009,292,In Service,Navios Holdings,Navios Holdings,Navios Holdings,Panama,,IFO 180,Diesel 2-Stroke,,,,18660,IFO 380,,,,,,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,17.92,45,MAN Energy Solutions,South Korea,Greece,1172,Bulkers,62
Mariloula,Bulk Carrier,94232,179759,2008,292,In Service,Chandris (Hellas),Chandris Group,Chandris (Hellas),Marshall Is.,,IFO 180,Diesel 2-Stroke,,,,13560,IFO 380,,,,,,N,6S60MC-C7.1,S60,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,17.92,45,MAN Energy Solutions,South Korea,Greece,1166,Bulkers,62
Marijeannie,Bulk Carrier,94232,179759,2009,292,In Service,Chandris (Hellas),Chandris Group,Chandris (Hellas),Greece,,IFO 180,Diesel 2-Stroke,,,,13560,IFO 380,,,,,,N,6S60MC-C7.2,S60,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,17.92,45,MAN Energy Solutions,South Korea,Greece,1167,Bulkers,62
Marivictoria,Bulk Carrier,94232,179759,2009,292,Repairs,Chandris (Hellas),Chandris Group,Oldendorff Carriers,Greece,,IFO 180,Diesel 2-Stroke,,,,13560,IFO 380,,,,,,N,6S60MC-C7.2,S60,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,17.92,45,MAN Energy Solutions,South Korea,Greece,1181,Bulkers,62
Navios Happiness,Bulk Carrier,94232,180022,2009,292,In Service,Navios Holdings,Navios Holdings,Navios Holdings,Malta,,IFO 180,Diesel 2-Stroke,,,,18660,IFO 380,,,,,,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,17.92,45,MAN Energy Solutions,South Korea,Greece,1173,Bulkers,62
Mariperla,Bulk Carrier,94232,179759,2009,292,In Service,Chandris (Hellas),Chandris Group,Chandris (Hellas),Malta,,IFO 180,Diesel 2-Stroke,,,,13560,IFO 380,,,,,,N,6S60MC-C7.2,S60,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,17.92,45,MAN Energy Solutions,South Korea,Greece,1174,Bulkers,62
Haralambos,Bulk Carrier,94222,179922,2009,292,In Service,Universal Tanker,Universal Tanker,Universal Tanker,Liberia,,IFO 180,Diesel 2-Stroke,,,,13560,IFO 380,,,,,,N,6S60MC-C7.2,S60,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15,18.21,45,MAN Energy Solutions,South Korea,Cyprus,1182,Bulkers,62
Sunny Sky,Bulk Carrier,94145,179797,2011,292,In Service,Winning Intl,Winning Intl,Winning Intl,Panama,,IFO 380,Diesel 2-Stroke,,,2664,18660,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.4,18.22,45,MAN Energy Solutions,South Korea,China P.R.,HN-1011,Bulkers,67.27
Sunny Star,Bulk Carrier,94145,179843,2011,292.08,In Service,Winning Intl,Winning Intl,Winning Intl,Panama,,IFO 380,Diesel 2-Stroke,,,2664,18660,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.4,18.22,45,MAN Energy Solutions,South Korea,China P.R.,HN-1012,Bulkers,67.27
Anangel Seafarer,Bulk Carrier,94082,179754,2011,292,In Service,Maran Dry Mngt,Angelicoussis Group,Maran Dry Mngt,Malta,Pending,IFO 380,Diesel 2-Stroke,,,2640,18660,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.4,18.2,45,MAN Energy Solutions,Romania,Greece,1048,Bulkers,
KWK Legacy,Bulk Carrier,94051,179688,2011,292,In Service,Tai Chong Cheang,Tai Chong Cheang,Tai Chong Cheang,Singapore,,IFO 180,Diesel 2-Stroke,,,2280,18660,IFO 380,,15.4,,,99,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,18.21,45,MAN Energy Solutions,South Korea,Hong Kong,1198,Bulkers,62
CSK Brilliance,Bulk Carrier,94051,179942,2011,292,In Service,Tai Chong Cheang,Tai Chong Cheang,Tai Chong Cheang,Singapore,,IFO 180,Diesel 2-Stroke,,,2280,18660,IFO 380,,15.4,,,99,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,18.21,45,MAN Energy Solutions,South Korea,Hong Kong,1208,Bulkers,62
Ianthe,Bulk Carrier,94008,180018,2009,292,In Service,Neda Maritime Agency,Neda Maritime Agency,Neda Maritime Agency,Greece,Fitted,IFO 180,Diesel 2-Stroke,,,,18660,IFO 380,,,,,95,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,17.92,45,MAN Energy Solutions,South Korea,Greece,1170,Bulkers,62
Ariadne,Bulk Carrier,94008,180010,2009,292,In Service,Neda Maritime Agency,Neda Maritime Agency,Neda Maritime Agency,Greece,,IFO 180,Diesel 2-Stroke,,,,18660,IFO 380,,,,,81.7,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,17.92,45,MAN Energy Solutions,South Korea,Greece,1179,Bulkers,62
Nymphe,Bulk Carrier,94008,180018,2009,292,In Service,Neda Maritime Agency,Neda Maritime Agency,Neda Maritime Agency,Greece,Fitted,IFO 180,Diesel 2-Stroke,,,,18660,IFO 380,,,,,95,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,17.92,45,MAN Energy Solutions,South Korea,Greece,1171,Bulkers,62
Dione,Bulk Carrier,94008,180132,2009,292,In Service,Neda Maritime Agency,Neda Maritime Agency,Neda Maritime Agency,Greece,Fitted,IFO 180,Diesel 2-Stroke,,,,18660,IFO 380,,,,,81.7,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,17.92,45,MAN Energy Solutions,South Korea,Greece,1180,Bulkers,62
Cape Breeze,Bulk Carrier,93960,180203,2010,292,In Service,Olympia Ocean,Olympia Ocean,Olympia Ocean,Cyprus,,IFO 380,Diesel 2-Stroke,,,2664,18660,IFO 380,,,,,88,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.4,18.22,45,MAN Energy Solutions,South Korea,Greece,HN-1036,Bulkers,67.27
Cape Venture,Bulk Carrier,93960,180022,2010,292,In Service,Olympia Ocean,Olympia Ocean,Olympia Ocean,Cyprus,,IFO 380,Diesel 2-Stroke,,,2664,18660,IFO 380,,,,,88,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.4,18.22,45,MAN Energy Solutions,South Korea,Greece,HN-1037,Bulkers,67.27
Stella,Bulk Carrier,93916,179700,2009,292,In Service,Tsakos Shpg & Trdg,Tsakos Group,Tsakos Shpg & Trdg,Liberia,,IFO 380,Diesel 2-Stroke,,,2550,18660,IFO 380,,,,,80.75,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.4,18.2,45,MAN Energy Solutions,Romania,Greece,1046,Bulkers,
Ian M,Bulk Carrier,93916,179599,2010,292,In Service,Tsakos Shpg & Trdg,Tsakos Group,Tsakos Shpg & Trdg,Liberia,,IFO 380,Diesel 2-Stroke,,,2550,18660,IFO 380,,,,,80.75,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.4,18.2,45,MAN Energy Solutions,Romania,Greece,1045,Bulkers,
Aquatonka,Bulk Carrier,93789,179004,2012,291.96,In Service,GoodBulk,GoodBulk,GoodBulk,Liberia,,IFO 380,Diesel 2-Stroke,,,2880,18660,IFO 380,,,,,98.5,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,,18.22,45,MAN Energy Solutions,Philippines,Monaco,PN-058,Bulkers,
Aquahaha,Bulk Carrier,93789,179023,2012,291.97,In Service,GoodBulk,GoodBulk,GoodBulk,Liberia,,IFO 380,Diesel 2-Stroke,,,2880,18660,IFO 380,,,,,98.5,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,,18.22,45,MAN Energy Solutions,Philippines,Monaco,PN-057,Bulkers,
Star Borealis,Bulk Carrier,93733,179678,2011,292,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,Marshall Is.,Fitted,IFO 380,Diesel 2-Stroke,,,1560,19620,IFO 380,,,,,53.5,N,6S70MC-C8.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,,18.22,45,MAN Energy Solutions,Philippines,Greece,PN-063,Bulkers,
Star Polaris,Bulk Carrier,93733,179678,2011,292,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,Marshall Is.,Fitted,IFO 380,Diesel 2-Stroke,,,2340,19620,IFO 380,,,,,,N,6S70MC-C8.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14,18.22,45,MAN Energy Solutions,Philippines,Greece,PN-064,Bulkers,59
Aquarange,Bulk Carrier,93733,179842,2011,292,In Service,GoodBulk,GoodBulk,GoodBulk,Liberia,,IFO 380,Diesel 2-Stroke,,,,19620,IFO 380,,15.5,,,,N,6S70MC-C8.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.5,18.22,45,MAN Energy Solutions,Philippines,Monaco,PN-053,Bulkers,
Alpha Bravery,Bulk Carrier,93715,179398,2011,292,In Service,Alpha Bulkers,Alpha Tankers,Alpha Bulkers,Greece,,IFO 180,Diesel 2-Stroke,,,2400,18660,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,18.22,45,MAN Energy Solutions,South Korea,Greece,N-230,Bulkers,67
Cape Elektra,Bulk Carrier,93715,179430,2011,292,In Service,Golden Union,Golden Union,Golden Union,Malta,,IFO 180,Diesel 2-Stroke,,,2880,18660,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,18.22,45,MAN Energy Solutions,South Korea,Greece,N-231,Bulkers,67
Mineral Subic,Bulk Carrier,93695,179397,2011,292,In Service,Bocimar NV,CMB,Bocimar NV,Hong Kong,,IFO 380,Diesel 2-Stroke,,,2880,18660,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,16,18.22,45,MAN Energy Solutions,Philippines,Belgium,PN-054,Bulkers,
Lake Dolphin,Bulk Carrier,93695,179418,2011,292,In Service,Bocimar NV,CMB,Louis Dreyfus (LDA),Belgium,,IFO 380,Diesel 2-Stroke,,,2880,18660,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,16,18.22,45,MAN Energy Solutions,Philippines,Belgium,PN-055,Bulkers,
Aanya,Bulk Carrier,93693,179628,2012,292,In Service,Kowa Marine Service,Kowa Marine Service,Adani Enterprises,Panama,,IFO 380,Diesel 2-Stroke,,,,18661,IFO 380,,,,,,N,6S70MC-C8.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.5,18.22,45,MAN Energy Solutions,Philippines,Japan,PN-073,Bulkers,
Aashna,Bulk Carrier,93693,179523,2012,292,In Service,Kowa Marine Service,Kowa Marine Service,Adani Enterprises,Panama,,IFO 380,Diesel 2-Stroke,,,,18661,IFO 380,,,,,,N,6S70MC-C8.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,18.22,45,MAN Energy Solutions,Philippines,Japan,PN-074,Bulkers,
Lowlands Prosperity,Bulk Carrier,93684,179895,2012,292,In Service,CLdN Cobelfret,CLdN Cobelfret,CLdN Cobelfret,Singapore,,IFO 380,Diesel 2-Stroke,,,2625,19620,IFO 380,,,,,55,N,6S70MC-C8.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.3,18.22,45,MAN Energy Solutions,Philippines,Belgium,PN-062,Bulkers,
Lowlands Tenacity,Bulk Carrier,93684,179929,2011,292,In Service,CLdN Cobelfret,CLdN Cobelfret,CLdN Cobelfret,Singapore,,IFO 380,Diesel 2-Stroke,,,2625,19620,IFO 380,,,,,55,N,6S70MC-C8.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.3,18.22,45,MAN Energy Solutions,Philippines,Belgium,PN-061,Bulkers,
HL Gladstone,Bulk Carrier,93681,179851,2011,292,In Service,H-Line Shipping,H-Line Shipping,H-Line Shipping,Panama,Pending,IFO 380,Diesel 2-Stroke,,,2400,18660,IFO 380,,,,,55,N,6S70MC-C8.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,18.22,45,MAN Energy Solutions,Philippines,South Korea,PN-052,Bulkers,
Navios Ray,Bulk Carrier,93664,179397,2012,292,In Service,Navios Holdings,Navios Holdings,Navios Holdings,Panama,,IFO 380,Diesel 2-Stroke,,,,18660,IFO 380,,15.5,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,16,18.22,45,MAN Energy Solutions,Philippines,Greece,N-242,Bulkers,
Aquanavigator,Bulk Carrier,93597,179905,2011,292.05,In Service,GoodBulk,GoodBulk,GoodBulk,Liberia,,IFO 380,Diesel 2-Stroke,,,,18660,IFO 380,,,,,58.5,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.37,18.22,45,MAN Energy Solutions,South Korea,Monaco,HN1053,Bulkers,
Aquasalwador,Bulk Carrier,93597,180012,2012,292.05,In Service,GoodBulk,GoodBulk,GoodBulk,Liberia,,IFO 380,Diesel 2-Stroke,,,,18660,IFO 380,,,,,58.5,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.33,18.22,45,MAN Energy Solutions,South Korea,Monaco,HN1054,Bulkers,
Wisdom Of The Sea 1,Bulk Carrier,93565,180144,2011,292,In Service,IS Shipping,IS Shipping,IS Shipping,Panama,,IFO 380,Diesel 2-Stroke,,,,18660,IFO 380,,,,,70,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.4,18.22,45,MAN Energy Solutions,South Korea,South Korea,HN-1048,Bulkers,66.57
Wisdom Of The Sea 2,Bulk Carrier,93565,180184,2011,292,In Service,IS Shipping,IS Shipping,SwissMarine Services,Panama,,IFO 380,Diesel 2-Stroke,,,,18660,IFO 380,,,,,70,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.4,18.22,45,MAN Energy Solutions,South Korea,South Korea,HN-1049,Bulkers,66.57
Cape Leonidas,Bulk Carrier,93565,180149,2010,292,In Service,Empire Bulkers,Alma Maritime,Empire Bulkers,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,18660,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.4,18.2,45,MAN Energy Solutions,South Korea,Greece,HN-1021,Bulkers,67.27
Blue Lhotse,Bulk Carrier,93565,180132,2011,292,In Service,Seatankers Mgmt,Fredriksen Group,Seatankers Mgmt,Panama,,IFO 380,Diesel 2-Stroke,,,2340,18660,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.4,18.22,45,MAN Energy Solutions,South Korea,Norway,HN-1046,Bulkers,
Cape Legacy,Bulk Carrier,93565,180161,2011,292,In Service,Mano Maritime Ltd.,Mano Maritime Ltd.,Mano Maritime Ltd.,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,18660,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.4,18.22,45,MAN Energy Solutions,South Korea,Israel,HN-1047,Bulkers,
Sealink,Bulk Carrier,93565,180116,2010,292,In Service,Thenamaris,Thenamaris,Thenamaris,Malta,,IFO 380,Diesel 2-Stroke,,,2430,18660,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14,18.2,45,MAN Energy Solutions,South Korea,Greece,HN-1020,Bulkers,63
Golden Magnum,Bulk Carrier,93526,179643,2009,292,In Service,SFL Corporation,Fredriksen Group,Golden Ocean Group,Hong Kong,,IFO 180,Diesel 2-Stroke,,,,18660,IFO 380,,,,,110,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.7,18.21,45,MAN Energy Solutions,South Korea,Norway,1187,Bulkers,71
Cape Providence,Bulk Carrier,93526,179643,2009,292,In Service,Golden Union,Golden Union,Oldendorff Carriers,Panama,,IFO 180,Diesel 2-Stroke,,,,18660,IFO 380,,,,,110,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.7,18.22,45,MAN Energy Solutions,South Korea,Greece,1186,Bulkers,69
Rosemary,Bulk Carrier,93526,179742,2010,292,In Service,Korea Line,SM Group,,Panama,,IFO 180,Diesel 2-Stroke,,,,18630,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.7,18.22,45,MAN Energy Solutions,South Korea,South Korea,1175,Bulkers,71
Lavender,Bulk Carrier,93526,179873,2010,292,In Service,Korea Line,SM Group,,Panama,,IFO 180,Diesel 2-Stroke,,,,18630,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.7,18.22,45,MAN Energy Solutions,South Korea,South Korea,1176,Bulkers,71
Alpha Unity,Bulk Carrier,93385,181417,2010,292,In Service,Alpha Bulkers,Alpha Tankers,Alpha Bulkers,Liberia,,IFO 380,Diesel 2-Stroke,,,1830,18660,,,17.3,,,,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.3,18.18,45,MAN Energy Solutions,Japan,Greece,765,Bulkers,
Alexandra P,Bulk Carrier,93385,181255,2009,292,In Service,Sea Traders,Dynacom Tankers Mgmt,Sea Traders,Liberia,,IFO 380,Diesel 2-Stroke,,,1830,18660,,,15.3,,,,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.3,18.2,45,MAN Energy Solutions,Japan,Greece,775,Bulkers,
Mount Troodos,Bulk Carrier,93385,181383,2009,292,In Service,Safe Bulkers,Safe Bulkers,Safe Bulkers,Cyprus,,IFO 380,Diesel 2-Stroke,,,1830,18660,,,17.3,,,,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.3,18.18,45,MAN Energy Solutions,Japan,Greece,764,Bulkers,
Rosco Maple,Bulk Carrier,93385,181453,2010,292,In Service,Rewood Ocean Shpg.,Rewood Ocean Shpg.,Rewood Ocean Shpg.,Hong Kong,,IFO 380,Diesel 2-Stroke,,,1830,18660,,,17.3,,,,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14,18.18,45,MAN Energy Solutions,Japan,China P.R.,766,Bulkers,65.1
K. Confidence,Bulk Carrier,93383,181488,2013,292,In Service,SK Shipping,SK Shipping,SK Shipping,Panama,Pending,IFO 380,Diesel 2-Stroke,,,1830,18660,IFO 380,,15.3,,,,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.3,18.2,45,MAN Energy Solutions,Japan,South Korea,777,Bulkers,
K. Victory,Bulk Carrier,93383,181500,2012,292,In Service,SK Shipping,SK Shipping,SK Shipping,Panama,Fitted,IFO 380,Diesel 2-Stroke,,,1830,18660,IFO 380,,15.3,,,,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.3,18.2,45,MAN Energy Solutions,Japan,South Korea,776,Bulkers,
Mount Hedland,Bulk Carrier,93369,181196,2010,292,In Service,Eastern Pacific Shpg,Eastern Pacific Shpg,,Liberia,Fitted,IFO 380,Diesel 2-Stroke,,,2400,18660,IFO 380,,,,,,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.3,18.2,45,MAN Energy Solutions,Japan,Singapore,780,Bulkers,
Aquamarine,Bulk Carrier,93360,182060,2009,292,In Service,GoodBulk,GoodBulk,GoodBulk,Liberia,,IFO 380,Diesel 2-Stroke,,,,18660,,,14.7,,,,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,13.9,18.15,44.98,MAN Energy Solutions,Denmark,Monaco,223,Bulkers,
Aquaprincess,Bulk Carrier,93360,182060,2009,292,In Service,Carras Hellas,Carras Hellas,Carras Hellas,Greece,,IFO 380,Diesel 2-Stroke,,,,18660,,,14.7,,,,N,6S70MC-C7.1,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,13.9,18.28,44.98,MAN Energy Solutions,Denmark,Greece,224,Bulkers,
Aquavictory,Bulk Carrier,93360,182060,2010,292,In Service,GoodBulk,GoodBulk,SwissMarine Services,Liberia,,IFO 380,Diesel 2-Stroke,,,,18660,,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,13.9,18.15,44.98,MAN Energy Solutions,Denmark,Monaco,226,Bulkers,
Heroic,Bulk Carrier,93360,182060,2010,292,In Service,Nereus Shipping,C.M. Lemos,Nereus Shipping,Greece,,IFO 380,Diesel 2-Stroke,,,,18660,,,14.7,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,13.9,18.28,44.98,MAN Energy Solutions,Denmark,Greece,232,Bulkers,
Epic,Bulk Carrier,93360,182060,2010,292,In Service,Nereus Shipping,C.M. Lemos,Nereus Shipping,Greece,,IFO 380,Diesel 2-Stroke,,,,18660,,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,13.9,18.15,44.98,MAN Energy Solutions,Denmark,Greece,231,Bulkers,
Aquadiva,Bulk Carrier,93360,182060,2010,292,In Service,Carras Hellas,Carras Hellas,SwissMarine Services,Greece,,IFO 380,Diesel 2-Stroke,,,,18660,,,14.7,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,13.9,18.28,44.98,MAN Energy Solutions,Denmark,Greece,225,Bulkers,
Glovis Advance,Bulk Carrier,93313,179217,2012,292,In Service,Hyundai Glovis,Hyundai Motor Group,Hyundai Glovis,Panama,,IFO 380,Diesel 2-Stroke,,,2880,18390,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.38,18.22,45,MAN Energy Solutions,South Korea,South Korea,2401,Bulkers,
Baltic Lion,Bulk Carrier,93290,179185,2012,291.97,In Service,Genco Shpg & Trading,Genco Shpg & Trading,Cargill Ocn Trnsprt,Marshall Is.,Fitted,IFO 380,Diesel 2-Stroke,,,,19620,IFO 380,,,,,,N,6S70MC-C8.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.7,18.22,45,MAN Energy Solutions,South Korea,United States,2453,Bulkers,68.6
Genco Tiger,Bulk Carrier,93290,179185,2011,291.97,In Service,Genco Shpg & Trading,Genco Shpg & Trading,Genco Shpg & Trading,Marshall Is.,Fitted,IFO 380,Diesel 2-Stroke,,,,19620,IFO 380,,,,,,N,6S70MC-C8.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14,18.22,45,MAN Energy Solutions,South Korea,United States,2452,Bulkers,63.5
Southern Harmony,Bulk Carrier,93288,182249,2012,292,In Service,Mizuho Sangyo,Mizuho Sangyo,,Panama,,IFO 380,Diesel 2-Stroke,,,2400,17780,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.3,18.2,45,MAN Energy Solutions,Japan,Japan,1676,Bulkers,63.3
Frontier Queen,Bulk Carrier,93288,182663,2012,292,In Service,Mizuho Sangyo,Mizuho Sangyo,Nippon Yusen Kaisha,Panama,,IFO 380,Diesel 2-Stroke,,,2400,17780,IFO 380,,,,,,N,6S70MC-C7.2,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.3,18.23,45,MAN Energy Solutions,Japan,Japan,1642,Bulkers,63.3
