Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Papalemos,Tanker,159813,319191,2018,333,In Service,Enesel SA,N.S. Lemos,Enesel SA,Malta,Fitted,IFO 380,Diesel 2-Stroke,,,4620,24500,IFO 380,,14.8,,,0,,N,7G80ME-C9.5,G80,Diesel 2-Stroke,"UL/VLCC 200,000+ dwt",,MAN B. & W.,15,22.62,60,MAN Energy Solutions,South Korea,Greece,2959,Crude Tankers,83.5
Irini N. Lemos,Tanker,159813,319191,2019,333,In Service,Enesel SA,N.S. Lemos,Enesel SA,Malta,Pending,IFO 380,Diesel 2-Stroke,,,4620,24500,IFO 380,,14.8,,,0,,N,7G80ME-C9.5,G80,Diesel 2-Stroke,"UL/VLCC 200,000+ dwt",,MAN B. & W.,15,22.62,60,MAN Energy Solutions,South Korea,Greece,2961,Crude Tankers,83.5
Landbridge Glory,Tanker,162424,308123,2019,332.95,In Service,Landbridge,Landbridge,Trafigura Maritime,Hong Kong,Fitted,IFO 380,Diesel 2-Stroke,,,3390,24720,,,,,,0,,N,7G80ME-C9.2,G80,Diesel 2-Stroke,"UL/VLCC 200,000+ dwt",,MAN B. & W.,15.7,20.5,60,MAN Energy Solutions,China P.R.,China P.R.,T308K-1,Crude Tankers,
Hafnia Hong Kong,Product Carrier,43693,74999,2019,228.4,In Service,Vista Shipping,BW Group,Hafnia LR Pool,Malta,,IFO 380,Diesel 2-Stroke,,,3120,16080,IFO 380,,,,,0,,N,6G60ME-C9.5,G60,Diesel 2-Stroke,"Panamax Tankers 55-84,999 dwt",,MAN B. & W.,14.53,12.87,38,MAN Energy Solutions,China P.R.,Denmark,15121005,Product Tankers,
Hafnia Shanghai,Product Carrier,43693,74999,2019,228.4,In Service,Vista Shipping,BW Group,Hafnia LR Pool,Malta,,IFO 380,Diesel 2-Stroke,,,3120,16080,IFO 380,,,,,0,,N,6G60ME-C9.5,G60,Diesel 2-Stroke,"Panamax Tankers 55-84,999 dwt",,MAN B. & W.,14.53,12.88,38,MAN Energy Solutions,China P.R.,Denmark,15121006,Product Tankers,
Chios Star,Chemical & Oil Carrier,29528,50506,2018,183.06,In Service,Chartworld Shipping,Chartworld Shipping,Hafnia MR Pool,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,7180,IFO 380,,,,,0,,N,6G50ME-C9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,14,13.32,32.2,MAN Energy Solutions,South Korea,Greece,2609,Product Tankers,
Oinoussian Star,Chemical & Oil Carrier,29528,50506,2018,183.06,In Service,Chartworld Shipping,Chartworld Shipping,Clearlake Shpg,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,7180,,,,,,0,,N,6G50ME-C9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,14,13.32,32.2,MAN Energy Solutions,South Korea,Greece,2610,Product Tankers,
Ionian Star,Chemical & Oil Carrier,29544,50506,2019,183.06,In Service,Chartworld Shipping,Chartworld Shipping,Chartworld Shipping,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,7180,IFO 380,,,,,0,,N,6G50ME-C9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,14,13.32,32.2,MAN Energy Solutions,South Korea,Greece,2613,Product Tankers,
Pascagoula Voyager,Tanker,163214,318000,2019,336,In Service,Maran Tankers Mgmt,Angelicoussis Group,Chevron Transport,Bahamas,Fitted,IFO 380,Diesel 2-Stroke,,,3520,25330,IFO 380,,15.7,,,0,,N,7G80ME-C9.5,G80,Diesel 2-Stroke,"UL/VLCC 200,000+ dwt",,MAN B. & W.,15.7,22.52,60,MAN Energy Solutions,South Korea,Greece,5443,Crude Tankers,
Universal Leader,Tanker,156331,299981,2019,336,In Service,HMM,HMM,HMM,Panama,Fitted,IFO 380,Diesel 2-Stroke,,,4620,24150,IFO 380,,,,,0,,N,7G80ME-C9.5,G80,Diesel 2-Stroke,"UL/VLCC 200,000+ dwt",,MAN B. & W.,16.6,21.6,60,MAN Energy Solutions,South Korea,South Korea,5444,Crude Tankers,
Universal Winner,Tanker,156331,299981,2019,336,In Service,HMM,HMM,BP Shipping,Panama,Fitted,IFO 380,Diesel 2-Stroke,,,4620,24150,IFO 380,,,,,0,,N,7G80ME-C9.5,G80,Diesel 2-Stroke,"UL/VLCC 200,000+ dwt",,MAN B. & W.,16.6,21.6,60,MAN Energy Solutions,South Korea,South Korea,5445,Crude Tankers,
Prostar,Product Carrier,62427,115643,2019,249.9,In Service,Metrostar Management,Metrostar Management,Teekay Tankers,Liberia,,IFO 380,Diesel 2-Stroke,,,4110,13450,IFO 380,,,,,0,,N,6G60ME-C9.5,G60,Diesel 2-Stroke,"Aframax Products 85-124,999 dwt",,MAN B. & W.,13.9,15.22,44,MAN Energy Solutions,South Korea,Greece,5029,Product Tankers,
Pacific M,Tanker,154137,299546,2019,329.98,In Service,Sentek Marine,Sentek Marine,Sentek Marine,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,4650,24500,IFO 380,,,,,0,,N,7G80ME-C9.5,G80,Diesel 2-Stroke,"UL/VLCC 200,000+ dwt",,MAN B. & W.,15,21.72,60,MAN Energy Solutions,South Korea,Singapore,S943,Crude Tankers,
Dijilah,Tanker,161960,320596,2019,332.98,In Service,Al-Iraqia Shipping,Al-Iraqia Shipping,Al-Iraqia Shipping,Marshall Is.,Pending,IFO 380,Diesel 2-Stroke,,,,26890,IFO 380,,,,,0,,N,7G80ME-C9.5,G80,Diesel 2-Stroke,"UL/VLCC 200,000+ dwt",,MAN B. & W.,14.5,22.82,60,MAN Energy Solutions,South Korea,U.A.E.,2229,Crude Tankers,
