Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
C Rock,Chem Parcel Tanker,3960,5850,2005,105.5,In Service,NRG Maritime,NRG Maritime,NRG Maritime,Malta,,IFO 180,Diesel 4-Stroke,,,984,2400,MGO,,,,IC,3,,Y,8M25,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,12,6.29,16.8,Caterpillar,Turkey,Greece,10,Chemical Tankers,9.8
Zaliv Baikal,Product Carrier,60178,104532,2009,243.88,In Service,Sovcomflot JSC,SCF Group,Sovcomflot JSC,Cyprus,,IFO 380,Diesel 2-Stroke,,,3960,12231,IFO 380,,,,IC,3,,Y,6S60MC6.1,S60,Diesel 2-Stroke,"Aframax Products 85-124,999 dwt",,MAN B. & W.,15.5,14.92,42,MAN Energy Solutions,South Korea,Russia,1873,Product Tankers,56.5
Zaliv Vostok,Product Carrier,60178,104527,2009,243.88,In Service,Sovcomflot JSC,SCF Group,Sovcomflot JSC,Cyprus,,IFO 380,Diesel 2-Stroke,,,3960,12231,IFO 380,,,,IC,3,,Y,6S60MC6.1,S60,Diesel 2-Stroke,"Aframax Products 85-124,999 dwt",,MAN B. & W.,15.5,14.92,42,MAN Energy Solutions,South Korea,Russia,1874,Product Tankers,56.5
KTS Green,Chemical Bulk Tanker,2666,3455,2007,92.86,In Service,Sejul Ship Mngt,Sejul Ship Mngt,Keo Young Shipping,South Korea,,IFO 180,Diesel 4-Stroke,,,,2040,IFO 180,,,,IC,3,,Y,6L27/32,27/32,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MAN Energy Solutions,13,5.7,14.1,MAN Energy Solutions,Turkey,South Korea,35,Chemical Tankers,9.3
Atlantis Aldabra,Chemical & Oil Carrier,2627,3492,2005,92.86,In Service,Armona Denizcilik,Armona Denizcilik,Armona Denizcilik,Malta,,IFO 180,Diesel 4-Stroke,,,1032,1850,Unspec,,,,IC,3,,Y,6M25,M25,Diesel 4-Stroke,"Small Product Tankers 2-9,999 dwt",,MaK,12.5,5.69,14.1,Caterpillar,Turkey,Turkey,28,Product Tankers,7.7
Thun Greenwich,Chem Parcel Tanker,5289,7915,2007,122.65,In Service,Erik Thun AB,Erik Thun AB,Thun Tankers,Netherlands,,IFO 380,Diesel 4-Stroke,,,1800,4000,Unspec,,,,IC,3,,Y,8M32C,M32,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,14.5,6.95,17.2,Caterpillar,Turkey,Sweden,109,Chemical Tankers,14.2
Oramalia,Chemical Bulk Tanker,3933,6450,2007,103,In Service,Simonsen Tankers,Simonsen Tankers,Simonsen Tankers,Gibraltar,,IFO 180,Diesel 4-Stroke,,,1014,2400,Unspec,,,,IC,3,,Y,8M25,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,11.7,6.9,16,Caterpillar,China P.R.,Denmark,406,Chemical Tankers,
Erria Swan,Chem Parcel Tanker,7257,11347,2006,129.75,In Service,Uni-Tankers,Uni-Tankers,Uni-Tankers,Danish Int'l,,IFO 380,Diesel 4-Stroke,,,1064,4500,Unspec,,,,IC,3,,Y,9L32/40,32/40,Diesel 4-Stroke,"Chemical Tankers 10,000+ dwt",,MAN Energy Solutions,12.5,8.07,19.6,MAN Energy Solutions,Turkey,Denmark,11,Chemical Tankers,18
Cap Felix,Tanker,81324,158765,2008,274.29,In Service,Euronav NV,Euronav NV,Euronav NV,Belgium,,IFO 380,Diesel 2-Stroke,,,,16891,IFO 380,,15.2,,IC,3,73.5,Y,6S70MC-C7.1,S70,Diesel 2-Stroke,"Suezmax 125-199,999 dwt",,MAN B. & W.,16.5,17.02,48,MAN Energy Solutions,South Korea,Belgium,1684,Crude Tankers,67
Lillo Swan,Chem Parcel Tanker,3100,4750,2007,99.9,In Service,Uni-Tankers,Uni-Tankers,Uni-Tankers,Malta,,IFO 180,Diesel 4-Stroke,,,1170,2640,Unspec,,,,IC,3,,Y,8M25,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,13.5,6.1,15,Caterpillar,Turkey,Denmark,32,Chemical Tankers,10.3
Azra-S,Chem Parcel Tanker,3740,5818,2007,105.5,In Service,Sener Petrol,Sener Petrol,North Sea Tankers,Malta,,IFO 180,Diesel 4-Stroke,,,1500,2400,MGO,,,,IC,3,,Y,6M32C,M32,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,14.5,6.29,16.8,Caterpillar,Turkey,Turkey,15,Chemical Tankers,
Tasing Swan,Chem Parcel Tanker,7257,11347,2007,129.75,In Service,Uni-Tankers,Uni-Tankers,Uni-Tankers,Danish Int'l,,IFO 380,Diesel 4-Stroke,,,1860,4497,Unspec,,,,IC,3,,Y,9M32/48,32/48,Diesel 4-Stroke,"Chemical Tankers 10,000+ dwt",,MAN Energy Solutions,12.5,8.07,19.6,MAN Energy Solutions,Turkey,Denmark,13,Chemical Tankers,18
Swan Baltic,Chem Parcel Tanker,8195,11489,2007,130.12,In Service,Norstar Group,Norstar Group,Uni-Tankers,Marshall Is.,,IFO 180,Diesel 4-Stroke,,,2400,5400,Unspec,,,,IC,3,,Y,6M43C,M43,Diesel 4-Stroke,"Chemical Tankers 10,000+ dwt",,MaK,13.5,8.25,19.6,Caterpillar,Turkey,United Kingdom,50,Chemical Tankers,
Cobaltwater,Chem Parcel Tanker,3561,5375,2006,99.98,In Service,Clearwater Group,Clearwater Group,GEFO,Netherlands,,IFO 380,Diesel 4-Stroke,,,,2880,,,,,IC,3,,Y,6M32,M32,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,15,6.92,16,Caterpillar,Turkey,Netherlands,11,Chemical Tankers,
Selasse,Chem Parcel Tanker,7776,11801,2008,130.12,In Service,Seatrend Shipping,Seatrend Shipping,Seatrend Shipping,Gibraltar,,IFO 380,Diesel 4-Stroke,,,1100,4497,Unspec,,,,IC,3,,Y,9L32/40,32/40,Diesel 4-Stroke,"Chemical Tankers 10,000+ dwt",,MAN Energy Solutions,15,8.35,19.6,MAN Energy Solutions,Turkey,Belgium,110,Chemical Tankers,
FMT Gumuldur,Chem Parcel Tanker,8995,14368,2009,142.98,In Service,UML Switzerland,SOCAR,UML Switzerland,Malta,,IFO 380,Diesel 2-Stroke,,,2343,4440,IFO 380,,,,IC,3,,Y,6S35MC7.2,S35,Diesel 2-Stroke,"Chemical Tankers 10,000+ dwt",,MAN B. & W.,14,8.75,21.7,MAN Energy Solutions,Turkey,Azerbaijan,70,Chemical Tankers,16.5
FMT Urla,Chem Parcel Tanker,8995,14355,2010,142.98,In Service,Palmali Shipping,Palmali Shipping,Palmali Shipping,Malta,,IFO 380,Diesel 2-Stroke,,,2343,4440,IFO 380,,14,,IC,3,,Y,6S35MC7.2,S35,Diesel 2-Stroke,"Chemical Tankers 10,000+ dwt",,MAN B. & W.,14,8.7,21.7,MAN Energy Solutions,Turkey,Turkey,73,Chemical Tankers,16.5
Filyoz,Chem Parcel Tanker,3976,5702,2010,105.5,Idle,Bahia Grande,Bahia Grande,,Liberia,,IFO 380,Diesel 4-Stroke,,,1545,2720,Unspec,,,,IC,3,,Y,8L27/38,27/38,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MAN Energy Solutions,13.7,6.29,16.8,MAN Energy Solutions,Turkey,Argentina,2041,Chemical Tankers,11.42
Stride,Tanker,60178,104535,2009,243.88,In Service,Transpetrol Services,Transpetrol Services,Navig8 Tankers,Singapore,,IFO 380,Diesel 2-Stroke,,,3960,12980,IFO 380,,,,IC,3,,Y,7S60MC-C7.2,S60,Diesel 2-Stroke,"Aframax Crude 85-124,999 dwt",,MAN B. & W.,15.5,14.92,42,MAN Energy Solutions,South Korea,Belgium,2025,Crude Tankers,56.5
Zaliv Aniva,Tanker,60178,102945,2009,243.88,In Service,Sovcomflot JSC,SCF Group,Sovcomflot JSC,Cyprus,,IFO 380,Diesel 2-Stroke,,,3960,15820,IFO 380,,,,IC,3,,Y,7S60MC-C7.2,S60,Diesel 2-Stroke,"Aframax Crude 85-124,999 dwt",,MAN B. & W.,15.5,14.92,42,MAN Energy Solutions,South Korea,Russia,2026,Crude Tankers,56.5
LS Jamie,Chem Parcel Tanker,3992,5776,2009,105.5,In Service,Lauranne Shipping,Lauranne Shipping,Naviglobe N.V.,Gibraltar,,IFO 380,Diesel 4-Stroke,,,1170,2998,Unspec,,,,IC,3,,Y,6M32,M32,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,13,6.29,16.8,Caterpillar,Turkey,Netherlands,5,Chemical Tankers,11.5
Gloria C,Chem Parcel Tanker,2962,3913,2010,92.96,In Service,Caroil Transp Marine,Caroil Transp Marine,Caroil Transp Marine,Panama,,IFO 380,Diesel 4-Stroke,,,1350,1960,Unspec,,,,IC,3,,Y,8L28/32H,28/32,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MAN Energy Solutions,13.5,5.8,14.6,MAN Energy Solutions,Turkey,Cuba,18,Chemical Tankers,
Gazela,Chem Parcel Tanker,4218,6479,2010,109,In Service,Sonangol,Sonangol,Sonangol Shpg,Cyprus,,MDO,Diesel 4-Stroke,,,1350,2720,Unspec,,,,IC,3,,Y,8L27/38,27/38,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MAN Energy Solutions,14.5,6.65,16.8,MAN Energy Solutions,Turkey,Angola,19,Chemical Tankers,
Key East,Chem Parcel Tanker,4242,6487,2011,109,In Service,Fjord Shipping AS,Fjord Shipping AS,Sea Tank Chartering,Malta,,MDO,Diesel 4-Stroke,,,1329,2720,Unspec,,,,IC,3,,Y,8L27/38,27/38,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MAN Energy Solutions,14.5,6.65,16.8,MAN Energy Solutions,Turkey,Norway,22,Chemical Tankers,
Asc,Chem Parcel Tanker,4021,5850,2008,105.5,In Service,Torlak Gemi,Torlak Gemi,Torlak Gemi,Marshall Is.,,IFO 380,Diesel 4-Stroke,,,1455,3000,Unspec,,,,IC,3,,Y,6M32,M32,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,13,6.29,16.8,Caterpillar,Turkey,Turkey,51,Chemical Tankers,5.75
Iberian Sea,Tanker,63416,114218,2018,249.8,In Service,Eastern Pacific Shpg,Eastern Pacific Shpg,,Liberia,Fitted,IFO 380,Diesel 2-Stroke,,,2880,13500,IFO 380,,,,IC,3,,Y,6G60ME-C9.5,G60,Diesel 2-Stroke,"Aframax Crude 85-124,999 dwt",,MAN B. & W.,14,15.12,44,MAN Energy Solutions,Philippines,Singapore,P0157,Crude Tankers,
Rava,Tanker,63802,114385,2017,249.9,In Service,Tankerska Plovidba,Tankerska Plovidba,Tankerska Plovidba,Croatia,,IFO 380,Diesel 2-Stroke,,,2880,12205,HFO 700,,,,IC,3,,Y,6G60ME-C9.5,G60,Diesel 2-Stroke,"Aframax Crude 85-124,999 dwt",,MAN B. & W.,15,15.12,44,MAN Energy Solutions,South Korea,Croatia,2066,Crude Tankers,
Eikeviken,Tanker,62172,113000,2019,250,In Service,Viken Shipping,Wallem Steckmest,Viken Shipping,Norwegian Int'l,Fitted,IFO 380,Diesel 2-Stroke,,,4110,14280,,,,,IC,3,,Y,6G60ME-C9.5,G60,Diesel 2-Stroke,"Aframax Crude 85-124,999 dwt",,MAN B. & W.,,15.1,43.8,MAN Energy Solutions,South Korea,Norway,2202,Crude Tankers,
Star Energy,Product Carrier,81340,156634,2016,277.17,In Service,A.M.P.T.C.,A.M.P.T.C.,A.M.P.T.C.,Panama,,IFO 380,Diesel 2-Stroke,,,3960,16300,MDO,,14.5,,IC,3,,Y,6X72,X72,Diesel 2-Stroke,"Suezmax 125-199,999 dwt",,WinGD,14.5,17.17,48,CSSC,South Korea,Egypt,S824,Product Tankers,
Sea Beauty,Product Carrier,81340,156634,2018,277.17,In Service,A.M.P.T.C.,A.M.P.T.C.,A.M.P.T.C.,Panama,,IFO 380,Diesel 2-Stroke,,,3960,16300,IFO 380,,15,,IC,3,,Y,6X72,X72,Diesel 2-Stroke,"Suezmax 125-199,999 dwt",,WinGD,17.72,17.17,48,CSSC,South Korea,Egypt,2933,Product Tankers,
Aristoklis,Tanker,60751,113838,2017,249.9,In Service,Capital Ship Mgmt,Capital Maritime,Capital Ship Mgmt,Marshall Is.,Pending,IFO 380,Diesel 2-Stroke,,,2880,16080,,,,,IC,3,,Y,6G60ME-C9.5,G60,Diesel 2-Stroke,"Aframax Crude 85-124,999 dwt",,MAN B. & W.,14.5,13.6,44,MAN Energy Solutions,South Korea,Greece,5012,Crude Tankers,
Kyrakatingo,Tanker,60751,113563,2017,249.9,In Service,N.S. Lemos,N.S. Lemos,Equinor,Malta,,IFO 380,Diesel 2-Stroke,,,2880,16080,,,,,IC,3,,Y,6G60ME-C9.5,G60,Diesel 2-Stroke,"Aframax Crude 85-124,999 dwt",,MAN B. & W.,14.5,15,44,MAN Energy Solutions,South Korea,Greece,5014,Crude Tankers,
Thun Lidkoping,Chemical Bulk Tanker,11826,18684,2019,149.8,In Service,Erik Thun AB,Erik Thun AB,Furetank Chart,Netherlands,,,Diesel 4-Stroke,,,1788,4480,Unspec,,,,IC,3,,Y,8L32,32,Diesel 4-Stroke,"Chemical Tankers 10,000+ dwt",,Wartsila 4-stroke,14,9.4,22.8,Wartsila,China P.R.,Sweden,AD0065,Chemical Tankers,
Victor Konetsky,Shuttle Tanker,60434,101018,2005,247,In Service,Sovcomflot JSC,SCF Group,Exxon Neftegaz Ltd,Cyprus,,IFO 380,Diesel 2-Stroke,,,3990,15820,IFO 380,,,,IC,3,50,Y,7S60ME-C7.1,S60,Diesel 2-Stroke,"Aframax Crude 85-124,999 dwt",Shuttle Tanker,MAN B. & W.,15.2,14.5,42,MAN Energy Solutions,South Korea,Russia,1603,Crude Tankers,63
Blue Lake Star,Chemical Bulk Tanker,4684,7071,2015,139.95,In Service,BMZ Group,BMZ Group,BMZ Group,Russia,,MDO,Diesel 4-Stroke,,,,2400,,,,,IC,3,,Y,6L20,20,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,Wartsila 4-stroke,10.5,4.6,16.83,Wartsila,Turkey,Turkey,80,Chemical Tankers,
Searuby,Product Carrier,63758,114034,2017,249.9,In Service,Thenamaris,Thenamaris,Thenamaris,Malta,,IFO 380,Diesel 2-Stroke,,,1920,12205,,,,,IC,3,56,Y,6G60ME-C9.5,G60,Diesel 2-Stroke,"Aframax Products 85-124,999 dwt",,MAN B. & W.,15,15.12,44,MAN Energy Solutions,South Korea,Greece,3110,Product Tankers,
Searover,Product Carrier,63758,114049,2017,249.9,In Service,Thenamaris,Thenamaris,Thenamaris,Malta,,IFO 380,Diesel 2-Stroke,,,1920,12205,IFO 380,,,,IC,3,56,Y,6G60ME-C9.5,G60,Diesel 2-Stroke,"Aframax Products 85-124,999 dwt",,MAN B. & W.,15,15.12,44,MAN Energy Solutions,South Korea,Greece,3112,Product Tankers,
Sochima,Chemical Unknown Carrier,4030,6450,2014,103,In Service,Tonimas Nigeria Ltd,Tonimas Nigeria Ltd,Tonimas Nigeria Ltd,Panama,,IFO 380,Diesel 4-Stroke,,,1176,2574,,,,,IC,3,,Y,6N330-EN,N330,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,Yanmar,11.7,7,16,Yanmar,China P.R.,Nigeria,RAJN009,Chemical Tankers,
Front Lynx,Product Carrier,62700,109900,2016,251.84,In Service,Frontline,Fredriksen Group,Frontline,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,2430,11850,IFO 380,,,,IC,3,45,Y,6G60ME-C9.2,G60,Diesel 2-Stroke,"Aframax Products 85-124,999 dwt",,MAN B. & W.,14.6,14.92,44,MAN Energy Solutions,China P.R.,Norway,N590,Product Tankers,
Front Jaguar,Product Carrier,62700,109900,2016,251.84,In Service,Frontline,Fredriksen Group,Frontline,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,2430,11850,IFO 380,,,,IC,3,45,Y,6G60ME-C9.2,G60,Diesel 2-Stroke,"Aframax Products 85-124,999 dwt",,MAN B. & W.,14.6,14.92,44,MAN Energy Solutions,China P.R.,Norway,N592,Product Tankers,
Stolt Greenshank,Chem Parcel Tanker,3327,4460,2011,90.9,In Service,Stolt Tankers BV,Stolt-Nielsen,Stolt-Nielsen Trans,United Kingdom,,IFO 180,Diesel 4-Stroke,,,900,2640,Unspec,,,,IC,3,20,Y,8M25C,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,12.8,6,15.6,Caterpillar,China P.R.,Norway,HT0119,Chemical Tankers,10.1
Stolt Redshank,Chem Parcel Tanker,3327,4449,2011,90.9,In Service,Stolt Tankers BV,Stolt-Nielsen,Stolt Tankers BV,United Kingdom,,IFO 180,Diesel 4-Stroke,,,1080,2640,Unspec,,,,IC,3,20,Y,8M25C,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,13,6,15.6,Caterpillar,China P.R.,Norway,HT0121,Chemical Tankers,11
Stolt Sandpiper,Chem Parcel Tanker,3327,4454,2011,90.9,In Service,Stolt Tankers BV,Stolt-Nielsen,Stolt-Nielsen Trans,United Kingdom,,IFO 180,Diesel 4-Stroke,,,1080,2640,Unspec,,,,IC,3,20,Y,8M25C,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,13,6,15.6,Caterpillar,China P.R.,Norway,HT0122,Chemical Tankers,11
Chem Lyra,Chem Parcel Tanker,11939,17009,2009,144.22,In Service,Ace Tankers,Ace Tankers,Brostrom Tankers,Liberia,,IFO 380,Diesel 2-Stroke,,,2220,5180,,,,,IC,3,,Y,7S35MC7,S35,Diesel 2-Stroke,"Chemical Tankers 10,000+ dwt",,MAN B. & W.,13,8.9,23,MAN Energy Solutions,China P.R.,Netherlands,XL-110,Chemical Tankers,
Chem Norma,Chem Parcel Tanker,11939,17009,2009,144.8,In Service,Ace Tankers,Ace Tankers,Ace Tankers,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,2220,5180,IFO 380,,,,IC,3,,Y,7S35MC7,S35,Diesel 2-Stroke,"Chemical Tankers 10,000+ dwt",,MAN B. & W.,13,8.9,23,MAN Energy Solutions,China P.R.,Netherlands,XL-112,Chemical Tankers,
Oraluna,Chemical Bulk Tanker,3953,6907,2012,103,In Service,Simonsen Tankers,Simonsen Tankers,Simonsen Tankers,Gibraltar,,IFO 380,Diesel 4-Stroke,,,926,2640,Unspec,,,,IC,3,,Y,8M25C,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,11.7,7,16,Caterpillar,China P.R.,Denmark,06-042,Chemical Tankers,11
Gazpromneft Zuid-East,Chemical Bulk Tanker,3953,6879,2012,103,In Service,Gazpromneft Marine,Gazprom,Gazpromneft Marine,Russia,,IFO 380,Diesel 4-Stroke,,,1387,2640,Unspec,,,,IC,3,,Y,8M25C,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,11.7,7,16,Caterpillar,China P.R.,Russia,06-043,Chemical Tankers,11
Bomar Vesta,Chem Parcel Tanker,4365,6221,2008,121.62,In Service,Borealis Maritime,Borealis Maritime,North Sea Tankers,Malta,,IFO 380,Diesel 4-Stroke,,,1545,2640,MGO,,,,IC,3,,Y,6L32,32,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,Wartsila 4-stroke,13,6.33,16,Wartsila,Turkey,United Kingdom,116,Chemical Tankers,12
Kerem Ka,Chem Parcel Tanker,4236,6250,2009,121.62,In Service,Trans KA Ve Ticaret,Akbasoglu Group,Uni-Tankers,Turkey,,IFO 180,Diesel 4-Stroke,,,1476,2638,Unspec,,,,IC,3,,Y,8M25,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,14,6.35,16,Caterpillar,Turkey,Turkey,117,Chemical Tankers,10.3
Ruby-T,Chem Parcel Tanker,12890,21224,2010,156.7,In Service,Transal Denizcilik,Transal Denizcilik,Transal Denizcilik,Malta,,IFO 380,Diesel 4-Stroke,,,2400,6900,IFO 380,,,,IC,3,,Y,6L48/60B,48/60,Diesel 4-Stroke,"Chemical Tankers 10,000+ dwt",,MAN Energy Solutions,13,9.8,22.9,MAN Energy Solutions,Turkey,Turkey,46,Chemical Tankers,
YM Uranus,Chem Parcel Tanker,4829,6970,2008,119.6,In Service,Yilmar Shipping,Yilmar Shipping,Yilmar Shipping,Malta,,IFO 380,Diesel 4-Stroke,,,1329,2998,Unspec,,,,IC,3,,Y,6L32/40,32/40,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MAN Energy Solutions,13.5,6.74,16.9,MAN Energy Solutions,Turkey,Turkey,77,Chemical Tankers,12.5
Oralynn,Chemical Bulk Tanker,3953,6450,2008,103,In Service,Simonsen Tankers,Simonsen Tankers,Simonsen Tankers,Gibraltar,,IFO 380,Diesel 4-Stroke,,,1014,2400,Unspec,,,,IC,3,,Y,8M25,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,11.7,7,16,Caterpillar,China P.R.,Denmark,06-035,Chemical Tankers,11
Orakai,Chemical Bulk Tanker,3953,6450,2008,103,In Service,Simonsen Tankers,Simonsen Tankers,Simonsen Tankers,Gibraltar,,IFO 380,Diesel 4-Stroke,,,1014,2398,Unspec,,,,IC,3,,Y,8M25,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,11.7,7,16,Caterpillar,China P.R.,Denmark,06-036,Chemical Tankers,11
Nilufer Sultan,Chem Parcel Tanker,12755,19980,2008,161.65,In Service,Bilka Denizcilik,Bilka Denizcilik,Bilka Denizcilik,Marshall Is.,,IFO 380,Diesel 4-Stroke,,,,6300,IFO 380,,,,IC,3,,Y,6L48/60B,48/60,Diesel 4-Stroke,"Chemical Tankers 10,000+ dwt",,MAN Energy Solutions,14.5,9.7,22.4,MAN Energy Solutions,Turkey,Turkey,10,Chemical Tankers,27
Fox Luna,Product Carrier,2284,3692,2008,79.96,In Service,BRP Shipping,BRP Shipping,BRP Shipping,Sweden,,,Diesel Electric,,,,,,,,,IC,3,,Y,DI16 44 M,DI16,Diesel Electric,"Small Product Tankers 2-9,999 dwt",,Scania,,6.4,13.2,Scania,Norway,Sweden,178,Product Tankers,
Angel No.11,Chem Parcel Tanker,11939,16500,2011,144.22,In Service,Angel Shipping,Angel Shipping,Dingheng Shipping,Hong Kong,,IFO 380,Diesel 2-Stroke,,,2250,5180,IFO 380,,,,IC,3,,Y,7S35MC7,S35,Diesel 2-Stroke,"Chemical Tankers 10,000+ dwt",,MAN B. & W.,13,8.88,23,MAN Energy Solutions,China P.R.,China P.R.,XL-117,Chemical Tankers,
Alsia Swan,Chem Parcel Tanker,3950,5717,2009,105.5,In Service,Uni-Tankers,Uni-Tankers,Uni-Tankers,Malta,,MDO,Diesel 4-Stroke,,,1170,2640,Unspec,,,,IC,3,,Y,8L27/38,27/38,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MAN Energy Solutions,13,6.29,16.8,MAN Energy Solutions,Turkey,Denmark,11,Chemical Tankers,11
Samus Swan,Chem Parcel Tanker,3950,5717,2009,105.5,In Service,Uni-Tankers,Uni-Tankers,Uni-Tankers,Malta,,MDO,Diesel 4-Stroke,,,1170,2640,Unspec,,,,IC,3,,Y,8L27/38,27/38,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MAN Energy Solutions,13,6.29,16.8,MAN Energy Solutions,Turkey,Denmark,12,Chemical Tankers,11
Coolwater,Chem Parcel Tanker,3674,5180,2008,99.98,In Service,Clearwater Group,Clearwater Group,GEFO,Netherlands,,IFO 380,Diesel 4-Stroke,,,,3497,Unspec,,,,IC,3,,Y,6R38,VASA 38,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,Wartsila 4-stroke,15,6.73,16,Wartsila,Netherlands,Netherlands,363,Chemical Tankers,
Capewater,Chem Parcel Tanker,3674,5180,2009,99.98,In Service,Clearwater Group,Clearwater Group,GEFO,Netherlands,,IFO 380,Diesel 4-Stroke,,,,3497,Unspec,,,,IC,3,,Y,6R38,VASA 38,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,Wartsila 4-stroke,15,6.73,16,Wartsila,Netherlands,Netherlands,576,Chemical Tankers,
T.Nevbahar,Chem Parcel Tanker,8197,11490,2009,130.12,In Service,Tupras,Tupras,Tupras,Turkey,,IFO 380,Diesel 4-Stroke,,,1980,6000,Unspec,,,,IC,3,,Y,6M43C,M43,Diesel 4-Stroke,"Chemical Tankers 10,000+ dwt",,MaK,15,8.35,19.6,Caterpillar,Turkey,Turkey,92,Chemical Tankers,
LS Evanne,Chem Parcel Tanker,4765,7003,2010,119.6,In Service,Lauranne Shipping,Lauranne Shipping,Naviglobe N.V.,Gibraltar,,IFO 180,Diesel 4-Stroke,,,1329,2999,MGO,,,,IC,3,,Y,6M32C,M32,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,13,6.7,16.9,Caterpillar,Turkey,Netherlands,2,Chemical Tankers,12
Imrikly,Chem Parcel Tanker,3576,5250,2010,105.76,In Service,MARCAB,MARCAB,MARCAB,Morocco,,IFO 380,Diesel 4-Stroke,,,1170,2638,Unspec,,,,IC,3,,Y,8M25C,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,14,6.25,15,Caterpillar,Turkey,Morocco,39,Chemical Tankers,
Kimolos Warrior,Tanker,81833,158000,2013,274.41,In Service,Polembros Shipping,Polembros Shipping,Polembros Shipping,Greece,,IFO 380,Diesel 2-Stroke,,,3120,18660,IFO 380,,,,IC,3,85,Y,6S70MC-C7.2,S70,Diesel 2-Stroke,"Suezmax 125-199,999 dwt",,MAN B. & W.,15.9,17.02,48,MAN Energy Solutions,South Korea,Greece,1904,Crude Tankers,69.2
Elba,Chemical Bulk Tanker,1723,2513,2009,72.62,In Service,G. D'Alesio,G. D'Alesio,G. D'Alesio,Italy,,MDO,Diesel 4-Stroke,,,,1154,MDO,,,,IC,3,,Y,8SF240 TA-SP,SF240,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,Guascor,12,5.2,13,Siemens,Turkey,Italy,4,Chemical Tankers,
YM Pluto,Chem Parcel Tanker,4848,6970,2009,119.6,In Service,Yilmar Shipping,Yilmar Shipping,Solar Chartering,Malta,,IFO 380,Diesel 4-Stroke,,,15500,2998,Unspec,,,,IC,3,,Y,6L32/40,32/40,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MAN Energy Solutions,14,6.74,16.9,MAN Energy Solutions,Turkey,Turkey,79,Chemical Tankers,12.5
