Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Lucy Borchard,Fully Cellular Container,6701,8200,2006,132.6,In Service,Reederei Bernd Sibum,Reederei Bernd Sibum,Borchard Lines,Antigua & B.,,IFO 380,Diesel 4-Stroke,,672,,6296,,,,,ID,2,,Y,7M43C,M43,Diesel 4-Stroke,"Feeder 100-1,000",,MaK,17.5,7.2,19.2,Caterpillar,China P.R.,Germany,2056,Containerships,26
Conmar Moon,Fully Cellular Container,7170,8524,2008,132.69,In Service,Conmar Shipping,Conmar Shipping,CK Line,Antigua & B.,,IFO 380,Diesel 4-Stroke,,704,984,7000,,,,,ID,2,,Y,7M43C,M43,Diesel 4-Stroke,"Feeder 100-1,000",,MaK,17,7.65,19.2,Caterpillar,China P.R.,Germany,2059,Containerships,22
Vega Sachsen,Fully Cellular Container,9966,13760,2008,147.74,In Service,Vega-Reederei,Vega-Reederei,Sealand,Liberia,,IFO 380,Diesel 4-Stroke,,1118,1830,9730,,,,,ID,2,,Y,7L58/64,58/64,Diesel 4-Stroke,"Feeder 1-1,999 TEU",,MAN Energy Solutions,19.5,8.5,23.25,MAN Energy Solutions,China P.R.,Germany,410,Containerships,41
Mukaddes Kalkavan,Fully Cellular Container,21092,26811,2008,182.85,In Service,Kasif Kalkavan Group,Kasif Kalkavan Group,Turkon Line,Marshall Is.,Pending,IFO 380,Diesel 2-Stroke,,1878,,13280,IFO 380,,20,,IC,3,,Y,8S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,28,MAN Energy Solutions,Turkey,Turkey,151,Containerships,50
Apostolos II,Fully Cellular Container,21092,26811,2008,182.85,In Service,Capital Ship Mgmt,Capital Maritime,Sealand,Marshall Is.,,IFO 380,Diesel 2-Stroke,,1878,2220,13280,IFO 380,,22,,IC,3,,Y,8S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,28,MAN Energy Solutions,Turkey,Greece,152,Containerships,50
Mustafa Dayi,Fully Cellular Container,21092,26811,2011,182.85,In Service,Kasif Kalkavan Group,Kasif Kalkavan Group,Turkon Line,Turkey,Fitted,IFO 380,Diesel 2-Stroke,,1878,2340,13280,IFO 380,,22,,IC,3,,Y,8S50MC-C8.2,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,28,MAN Energy Solutions,Turkey,Turkey,154,Containerships,50
Nevzat Kalkavan,Fully Cellular Container,21092,26811,2011,182.85,In Service,Kasif Kalkavan Group,Kasif Kalkavan Group,Turkon Line,Turkey,Pending,IFO 380,Diesel 2-Stroke,,1878,2250,15820,IFO 380,,22,,IC,3,,Y,7S60MC-C7.2,S60,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,28,MAN Energy Solutions,Turkey,Turkey,155,Containerships,50
Kaan Kalkavan,Fully Cellular Container,21092,26811,2012,182.85,In Service,Kasif Kalkavan Group,Kasif Kalkavan Group,Turkon Line,Turkey,Pending,IFO 380,Diesel 2-Stroke,,1878,2220,15820,IFO 380,,22,,IC,3,,Y,7S60MC-C7.2,S60,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,28,MAN Energy Solutions,Turkey,Turkey,156,Containerships,50
Asiatic Liberty,Fully Cellular Container,9978,12477,2007,149.6,In Service,Asiatic Lloyd,Asiatic Lloyd,Zim Integrated Shpg,Singapore,,IFO 380,Diesel 2-Stroke,,1061,,10500,,,20.2,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Germany,144,Containerships,43.5
Asiatic Island,Fully Cellular Container,9978,12477,2007,149.6,In Service,Asiatic Lloyd,Asiatic Lloyd,Zim Integrated Shpg,Singapore,,IFO 380,Diesel 2-Stroke,,1061,,11620,,,20.2,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Germany,145,Containerships,43.5
