Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Price (NB),Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Cauquenes,Fully Cellular Container,93685,104544,2015,299.9,In Service,Hapag-Lloyd Cont,Hapag-Lloyd,Hapag-Lloyd Cont,Liberia,,IFO 380,Diesel 2-Stroke,,9326,9000,46480,,,,,,82,N,8S90ME-C9.2,S90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,23.8,12.5,48.2,MAN Energy Solutions,South Korea,Germany,2085,Containerships,
Cisnes,Fully Cellular Container,93685,104544,2015,299.9,In Service,Hapag-Lloyd Cont,Hapag-Lloyd,Hapag-Lloyd Cont,Liberia,,IFO 380,Diesel 2-Stroke,,9326,9000,46480,,,,,,82,N,8S90ME-C9.2,S90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,23.8,12.5,48.2,MAN Energy Solutions,South Korea,Germany,2087,Containerships,
Coyhaique,Fully Cellular Container,93685,104544,2015,299.9,In Service,Hapag-Lloyd Cont,Hapag-Lloyd,Hapag-Lloyd Cont,Liberia,,IFO 380,Diesel 2-Stroke,,9326,9000,46480,,,,,,82,N,8S90ME-C9.2,S90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,23.8,12.5,48.2,MAN Energy Solutions,South Korea,Germany,2088,Containerships,
Copiapo,Fully Cellular Container,93685,104544,2014,299.9,In Service,Hapag-Lloyd Cont,Hapag-Lloyd,Hapag-Lloyd Cont,Liberia,,IFO 380,Diesel 2-Stroke,,9326,9000,46480,,,,,,82,N,8S90ME-C9.2,S90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,23.8,12.5,48.2,MAN Energy Solutions,South Korea,Germany,2082,Containerships,
Cochrane,Fully Cellular Container,93685,104544,2015,299.9,In Service,Hapag-Lloyd Cont,Hapag-Lloyd,Hapag-Lloyd Cont,Liberia,,IFO 380,Diesel 2-Stroke,,9326,9000,46480,,,,,,82,N,8S90ME-C9.2,S90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,23.8,12.5,48.2,MAN Energy Solutions,South Korea,Germany,2084,Containerships,
Corcovado,Fully Cellular Container,93685,104544,2015,299.9,In Service,Hapag-Lloyd Cont,Hapag-Lloyd,Hapag-Lloyd Cont,Liberia,,IFO 380,Diesel 2-Stroke,,9326,9000,46480,,,,,,82,N,8S90ME-C9.2,S90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,23.8,12.5,48.2,MAN Energy Solutions,South Korea,Germany,2086,Containerships,
Maersk Seville,Fully Cellular Container,93511,97552,2006,335,In Service,BoCom Leasing,BoCom,Maersk,Singapore,,IFO 380,Diesel 2-Stroke,,8466,13520,61900,,,,,,,N,12RT-flex96C,flex96C,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Sulzer,24.5,13.54,42.8,Sulzer,Japan,China P.R.,3200,Containerships,258
Maersk Sydney,Fully Cellular Container,93511,97517,2005,335,In Service,BoCom Leasing,BoCom,Maersk,Singapore,,IFO 380,Diesel 2-Stroke,,8450,,61900,,,,,,71,N,12RT-flex96C,flex96C,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Sulzer,24.5,13.54,42.8,Sulzer,Japan,China P.R.,3194,Containerships,247.8
Axel Maersk,Fully Cellular Container,93496,109000,2003,352.6,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Diesel 2-Stroke,,8272,10365,57200,IFO 380,,26.5,,,,N,10RTA96C-B,RTA96,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Sulzer,25,15,42.8,Sulzer,Denmark,Denmark,185,Containerships,250
Anna Maersk,Fully Cellular Container,93496,109000,2003,352.6,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Diesel 2-Stroke,,8272,10365,57200,IFO 380,,26.5,,,,N,10RTA96C-B,RTA96,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Sulzer,25,15,42.8,Sulzer,Denmark,Denmark,186,Containerships,250
Arnold Maersk,Fully Cellular Container,93496,109000,2003,352.6,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Diesel 2-Stroke,,8272,10365,57200,IFO 380,,26.5,,,,N,10RTA96C-B,RTA96,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Sulzer,25,15,42.8,Sulzer,Denmark,Denmark,187,Containerships,250
Arthur Maersk,Fully Cellular Container,93496,109000,2003,352.6,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Diesel 2-Stroke,,8272,10365,57200,IFO 380,,26.5,,,,N,10RTA96C-B,RTA96,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Sulzer,25,15,42.8,Sulzer,Denmark,Denmark,188,Containerships,250
Albert Maersk,Fully Cellular Container,93496,109000,2004,352.6,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Diesel 2-Stroke,,8272,10365,68640,IFO 380,,26.5,,,,N,12RTA96C-B,RTA96,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Sulzer,25,15,42.8,Sulzer,Denmark,Denmark,190,Containerships,250
MSC Branka,Fully Cellular Container,91883,110000,2016,299.84,In Service,ICBC Leasing,ICBC,MSC,Madeira,Fitted,IFO 380,Diesel 2-Stroke,,9400,9000,52290,,,,,,,N,9S90ME-C10.2,S90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,,14.5,48.2,MAN Energy Solutions,China P.R.,China P.R.,H3005,Containerships,
MSC Savannah,Fully Cellular Container,91650,101310,2011,335.63,In Service,SM Line,SM Group,MSC,Liberia,,IFO 380,Diesel 2-Stroke,,8586,,61797,,,,,,,N,12RT-flex96C-B,flex96C,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Wartsila 2-stroke,25.2,14.5,42.8,CSSC,South Korea,South Korea,S403,Containerships,247.3
Gulf Bridge,Fully Cellular Container,91650,101310,2011,335.63,In Service,Sinokor Merchant,Sinokor Merchant,CMA CGM,Marshall Is.,Fitted,IFO 380,Diesel 2-Stroke,,8586,,61797,,,,,,,N,12RT-flex96C-B,flex96C,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Wartsila 2-stroke,25.2,14.5,42.8,CSSC,South Korea,South Korea,S407,Containerships,247.3
SM New York,Fully Cellular Container,91650,101310,2010,335.63,In Service,SM Line,SM Group,MSC,Liberia,,IFO 380,Diesel 2-Stroke,,8586,,61797,,,,,,,N,12RT-flex96C-B,flex96C,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Wartsila 2-stroke,25.2,14.5,42.8,CSSC,South Korea,South Korea,S402,Containerships,247.3
SM Savannah,Fully Cellular Container,91650,101310,2011,335.63,In Service,SM Line,SM Group,Evergreen Marine,Liberia,,IFO 380,Diesel 2-Stroke,,8586,,61797,,,,,,,N,12RT-flex96C-B,flex96C,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Wartsila 2-stroke,25.2,14.5,42.8,CSSC,South Korea,South Korea,S404,Containerships,247.3
Mediterranean Bridge,Fully Cellular Container,91650,101310,2011,335.63,In Service,Sinokor Merchant,Sinokor Merchant,CMA CGM,Marshall Is.,Fitted,IFO 380,Diesel 2-Stroke,,8586,,61797,,,,,,,N,12RT-flex96C-B,flex96C,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Wartsila 2-stroke,25.2,14.5,42.8,CSSC,South Korea,South Korea,S408,Containerships,247.3
E.R. Tokyo,Fully Cellular Container,91649,100680,2006,334.08,In Service,Zeaborn Ship Mgmt,Zeaborn,MSC,Liberia,,IFO 380,Diesel 2-Stroke,,8200,6930,68640,,,,,,,N,12K98MC6.1,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.5,42.8,MAN Energy Solutions,South Korea,Germany,S264,Containerships,247.8
E.R. Texas,Fully Cellular Container,91649,100680,2006,334.08,In Service,Zeaborn Ship Mgmt,Zeaborn,COSCO Shipping Lines,Liberia,,IFO 180,Diesel 2-Stroke,,8200,6654,68640,IFO 180,,,,,,N,12K98MC6.1,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.5,42.8,MAN Energy Solutions,South Korea,Germany,S265,Containerships,247.8
Belita,Fully Cellular Container,91649,101505,2006,334.08,In Service,Danaos Shipping,Danaos Shipping,CMA CGM,Liberia,,IFO 380,Diesel 2-Stroke,,8200,6930,68640,,,,,,,N,12K98MC6.1,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.5,42.8,MAN Energy Solutions,South Korea,Greece,S266,Containerships,247.8
Lloyd Don Pascuale,Fully Cellular Container,91649,101477,2007,334.08,In Service,Zeaborn Ship Mgmt,Zeaborn,COSCO Shipping Lines,Liberia,,IFO 180,Diesel 2-Stroke,,8200,6654,68640,,,,,,,N,12K98MC6.1,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.5,42.8,MAN Energy Solutions,South Korea,Germany,S277,Containerships,247.8
SM Charleston,Fully Cellular Container,91649,101570,2005,334.08,In Service,SM Line,SM Group,MSC,Liberia,,IFO 180,Diesel 2-Stroke,,8200,6654,68640,,,,,,,N,12K98MC6.1,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.5,42.8,MAN Energy Solutions,South Korea,South Korea,S257,Containerships,247.8
E.R. Tianshan,Fully Cellular Container,91649,101532,2006,334.08,In Service,Zeaborn Ship Mgmt,Zeaborn,MSC,Liberia,,IFO 180,Diesel 2-Stroke,,8200,6654,68640,,,,,,,N,12K98MC6.1,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.5,42.8,MAN Energy Solutions,South Korea,Germany,S258,Containerships,247.8
E.R. Tianping,Fully Cellular Container,91649,101491,2006,334.08,In Service,Zeaborn Ship Mgmt,Zeaborn,CMA CGM,Madeira,,IFO 180,Diesel 2-Stroke,,8200,6654,68640,,,,,,,N,12K98MC6.1,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.5,42.8,MAN Energy Solutions,South Korea,Germany,S259,Containerships,247.8
Seamax Stratford,Fully Cellular Container,91649,101496,2006,334.08,In Service,MC Seamax Shipping,MC Seamax Shipping,RCL,Marshall Is.,,IFO 380,Diesel 2-Stroke,,8200,6654,68640,,,,,,,N,12K98MC6.1,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.5,42.8,MAN Energy Solutions,South Korea,United States,S260,Containerships,247.8
Lloyd Don Giovanni,Fully Cellular Container,91649,100680,2006,334.08,In Service,Zeaborn Ship Mgmt,Zeaborn,Evergreen Marine,Liberia,,IFO 380,Diesel 2-Stroke,,8200,6654,68640,,,,,,,N,12K98MC6.1,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.5,42.8,MAN Energy Solutions,South Korea,Germany,S261,Containerships,247.8
OOCL Beijing,Fully Cellular Container,91563,101588,2011,335,In Service,OOCL,China COSCO Shipping,OOCL,Hong Kong,,IFO 380,Diesel 2-Stroke,,8888,12000,68520,,,,,,120.7,N,12K98ME-C6.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.65,42.8,MAN Energy Solutions,China P.R.,China P.R.,H1562,Containerships,260
OOCL Canada,Fully Cellular Container,91563,101588,2011,335,In Service,OOCL,China COSCO Shipping,OOCL,Hong Kong,,IFO 380,Diesel 2-Stroke,,8888,12000,68520,,,,,,120.7,N,12K98ME-C6.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.65,42.8,MAN Energy Solutions,China P.R.,China P.R.,H1563,Containerships,260
OOCL Memphis,Fully Cellular Container,91563,101588,2013,335,In Service,OOCL,China COSCO Shipping,OOCL,Hong Kong,,IFO 380,Diesel 2-Stroke,,8888,12000,68520,,,,,,120.7,N,12K98ME-C6.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.65,42.8,MAN Energy Solutions,China P.R.,China P.R.,H1584,Containerships,260
Columbine Maersk,Fully Cellular Container,91560,104750,2002,346.98,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Diesel 2-Stroke,,8648,15000,68640,,,26,,,,N,12RTA96C-B,RTA96,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Sulzer,24,14.5,42.8,Sulzer,Denmark,Denmark,183,Containerships,250
Clementine Maersk,Fully Cellular Container,91560,104750,2002,346.98,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Diesel 2-Stroke,,8648,15000,68640,,,24.5,,,,N,12RTA96C-B,RTA96,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Sulzer,24,14.5,42.8,Sulzer,Denmark,Denmark,184,Containerships,250
Sovereign Maersk,Fully Cellular Container,91560,104696,1997,346.98,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Diesel 2-Stroke,,9640,15000,54900,IFO 380,,,,,,N,12K90MC Mk5,K90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24.6,14.52,42.8,MAN Energy Solutions,Denmark,Denmark,160,Containerships,200
Susan Maersk,Fully Cellular Container,91560,104696,1997,346.98,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Diesel 2-Stroke,,9640,15000,54900,IFO 380,,,,,,N,12K90MC Mk5,K90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24.6,14.52,42.8,MAN Energy Solutions,Denmark,Denmark,161,Containerships,200
Sally Maersk,Fully Cellular Container,91560,104750,1998,346.98,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Diesel 2-Stroke,,9640,15000,54900,IFO 380,,,,,,N,12K90MC Mk5,K90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24.6,14.52,42.8,MAN Energy Solutions,Denmark,Denmark,162,Containerships,200
Soroe Maersk,Fully Cellular Container,91560,104750,1999,346.72,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Diesel 2-Stroke,,9640,15000,54900,IFO 380,,,,,,N,12K90MC Mk5,K90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24,14.5,42,MAN Energy Solutions,Denmark,Denmark,167,Containerships,240
Chastine Maersk,Fully Cellular Container,91560,104690,2001,346.98,In Service,Maersk,A.P. Moller,Maersk,Singapore,,IFO 380,Diesel 2-Stroke,,9640,15000,54900,IFO 380,,,,,,N,12K90MC Mk5,K90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24,14.5,42.8,MAN Energy Solutions,Denmark,Denmark,180,Containerships,250
Charlotte Maersk,Fully Cellular Container,91560,104410,2002,346.98,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Diesel 2-Stroke,,9600,15000,68640,IFO 380,,,,,,N,12RTA96C-B,RTA96,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Sulzer,24,14.5,42.8,Sulzer,Denmark,Denmark,181,Containerships,250
Cornelia Maersk,Fully Cellular Container,91560,104750,2002,346.98,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Diesel 2-Stroke,,8650,15000,68640,,,24.5,,,,N,12RTA96C-B,RTA96,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,Sulzer,24,14.5,42.8,Sulzer,Denmark,Denmark,182,Containerships,250
Sine Maersk,Fully Cellular Container,91560,104700,1998,346.98,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Diesel 2-Stroke,,8160,15000,54900,IFO 380,,,,,,N,12K90MC Mk5,K90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.5,42.8,MAN Energy Solutions,Denmark,Denmark,163,Containerships,200
Clifford Maersk,Fully Cellular Container,91560,104696,1999,346.72,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Diesel 2-Stroke,,9640,15000,54900,IFO 380,,,,,,N,12K90MC Mk5,K90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24,14.5,42,MAN Energy Solutions,Denmark,Denmark,169,Containerships,240
Carsten Maersk,Fully Cellular Container,91560,104690,2000,346.98,In Service,Maersk,A.P. Moller,Maersk,Singapore,,IFO 380,Diesel 2-Stroke,,9640,15000,54900,IFO 380,,,,,,N,12K90MC Mk5,K90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24,14.5,42.8,MAN Energy Solutions,Denmark,Denmark,179,Containerships,240
OOCL Utah,Fully Cellular Container,91499,101279,2015,334.93,In Service,OOCL,China COSCO Shipping,OOCL,Hong Kong,Pending,IFO 380,Diesel 2-Stroke,,8888,12000,68520,,,,,,120.7,N,12K98ME-C6.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.65,42.8,MAN Energy Solutions,China P.R.,China P.R.,H1585,Containerships,260
OOCL Ho Chi Minh City,Fully Cellular Container,91499,101047,2015,334.93,In Service,OOCL,China COSCO Shipping,OOCL,Hong Kong,Pending,IFO 380,Diesel 2-Stroke,,8888,15376,58100,,,,,,,N,10S90ME-C9.2,S90,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.65,42.8,MAN Energy Solutions,China P.R.,China P.R.,H1668A,Containerships,260
OOCL Taipei,Fully Cellular Container,91499,101147,2015,334.94,In Service,OOCL,China COSCO Shipping,OOCL,Hong Kong,,IFO 380,Diesel 2-Stroke,,8888,12000,68520,,,,,,120.7,N,12K98ME-C6.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25,14.65,42.8,MAN Energy Solutions,China P.R.,China P.R.,H1565,Containerships,260
CMA CGM Tancredi,Fully Cellular Container,91498,101386,2011,334.98,In Service,Danaos Shipping,Danaos Shipping,CMA CGM,Malta,,IFO 380,Diesel 2-Stroke,,8530,11620,68354,,,,,,125,N,12K98MC-C7.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25.8,14.65,42.8,MAN Energy Solutions,China P.R.,Greece,Z00002,Containerships,248.2
CMA CGM Samson,Fully Cellular Container,91498,101386,2011,334.98,In Service,Danaos Shipping,Danaos Shipping,CMA CGM,Malta,,IFO 380,Diesel 2-Stroke,,8530,11620,68354,,,,,,125,N,12K98MC-C7.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25.8,14.65,42.8,MAN Energy Solutions,China P.R.,Greece,Z00004,Containerships,248.2
CMA CGM Melisande,Fully Cellular Container,91498,101386,2012,334.98,In Service,Danaos Shipping,Danaos Shipping,CMA CGM,Malta,,IFO 380,Diesel 2-Stroke,,8530,11620,68354,,,,,,125,N,12K98MC-C7.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25.8,14.65,42.8,MAN Energy Solutions,China P.R.,Greece,H1022A,Containerships,248.2
CMA CGM Attila,Fully Cellular Container,91498,101386,2011,334.98,In Service,Danaos Shipping,Danaos Shipping,CMA CGM,Malta,,IFO 380,Diesel 2-Stroke,,8530,11620,68354,,,,,,125,N,12K98MC-C7.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25.8,14.65,42.8,MAN Energy Solutions,China P.R.,Greece,Z00001,Containerships,248.2
CMA CGM Bianca,Fully Cellular Container,91498,101386,2011,334.98,In Service,Danaos Shipping,Danaos Shipping,CMA CGM,Malta,,IFO 380,Diesel 2-Stroke,,8530,11620,68354,,,,,,125,N,12K98MC-C7.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25.8,14.65,42.8,MAN Energy Solutions,China P.R.,Greece,Z00003,Containerships,248.2
CMA CGM Tosca,Fully Cellular Container,91410,101818,2005,335,In Service,CMA CGM,CMA CGM,CMA CGM,Reg Int. Francais,,IFO 380,Diesel 2-Stroke,,8448,6930,68655,,,,,,,N,12K98MC6.1,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24.5,14.52,42.8,MAN Energy Solutions,South Korea,France,S253,Containerships,260
CMA CGM La Traviata,Fully Cellular Container,91410,101818,2006,335,In Service,CMA CGM,CMA CGM,CMA CGM,Reg Int. Francais,,IFO 380,Diesel 2-Stroke,,8448,6930,68655,,,,,,,N,12K98MC6.1,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25.4,14.52,42.8,MAN Energy Solutions,South Korea,France,S254,Containerships,260
CMA CGM Nabucco,Fully Cellular Container,91410,101879,2006,334.07,In Service,CMA CGM,CMA CGM,CMA CGM,Reg Int. Francais,,IFO 380,Diesel 2-Stroke,,8488,6930,68640,,,,,,88.8,N,12K98MC-C6.1,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25.4,14.5,42.8,MAN Energy Solutions,South Korea,France,1647,Containerships,260
CMA CGM Otello,Fully Cellular Container,91410,101810,2005,334.07,In Service,CMA CGM,CMA CGM,CMA CGM,Reg Int. Francais,,IFO 380,Diesel 2-Stroke,,8488,6930,68666,,,,,,88.8,N,12K98MC-C6.1,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,25.4,14.5,42.8,MAN Energy Solutions,South Korea,France,1646,Containerships,260
Navarino,Fully Cellular Container,91354,102302,2010,335.07,In Service,Costamare Shipping,Costamare Shipping,Evergreen Marine,Hong Kong,,IFO 380,Diesel 2-Stroke,,8553,13200,61686,IFO 380,,,,,118,N,12K98MC-C6.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24,14.65,42.79,MAN Energy Solutions,China P.R.,Greece,H1512A,Containerships,210
CPO Bremen,Fully Cellular Container,91203,103773,2009,335.08,In Service,Reederei C-P Offen,Reederei C-P Offen,MSC,Malta,,IFO 380,Diesel 2-Stroke,,8580,10800,72240,,,,,,130,N,12K98MC-C7.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24.5,14.61,42.8,MAN Energy Solutions,South Korea,Germany,2075,Containerships,250
Maersk Amazon,Fully Cellular Container,91158,108574,2009,333.97,In Service,Hammonia Reederei,Hammonia Reederei,Maersk,Liberia,Fitted,IFO 380,Diesel 2-Stroke,,8440,,68520,,,,,,,N,12K98MC-C6.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24.5,15,42.8,MAN Energy Solutions,South Korea,Germany,S349,Containerships,250
Zim Ningbo,Fully Cellular Container,91158,108427,2009,333.97,In Service,Zim Integrated Shpg,Zim Integrated Shpg,Zim Integrated Shpg,Liberia,,IFO 380,Diesel 2-Stroke,,8440,11880,68520,,,,,,,N,12K98MC-C6.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24.5,15,42.8,MAN Energy Solutions,South Korea,Israel,S350,Containerships,250
Zim San Diego,Fully Cellular Container,91158,108464,2010,333.97,In Service,Zim Integrated Shpg,Zim Integrated Shpg,Zim Integrated Shpg,Liberia,,IFO 380,Diesel 2-Stroke,,8440,8910,68520,,,,,,,N,12K98MC-C6.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24.5,15,42.8,MAN Energy Solutions,South Korea,Israel,S351,Containerships,250
Zim Chicago,Fully Cellular Container,91158,108574,2010,333.97,In Service,Hammonia Reederei,Hammonia Reederei,Zim Integrated Shpg,Liberia,,IFO 380,Diesel 2-Stroke,,8440,,68520,,,,,,,N,12K98MC-C6.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24.5,15,42.8,MAN Energy Solutions,South Korea,Germany,S352,Containerships,250
COSCO Indonesia,Fully Cellular Container,91051,101200,2010,334,In Service,Seaspan Corporation,Seaspan Corporation,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,8495,12000,68530,,,,,,132.5,N,11K98ME7.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24.5,14.61,42.8,MAN Energy Solutions,South Korea,Canada,2085,Containerships,250
COSCO Japan,Fully Cellular Container,91051,102834,2010,334,In Service,Seaspan Corporation,Seaspan Corporation,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,8495,12000,68530,,,,,,132.5,N,11K98ME7.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24.5,14.61,42.8,MAN Energy Solutions,South Korea,Canada,2081,Containerships,250
COSCO Korea,Fully Cellular Container,91051,102710,2010,334,In Service,Seaspan Corporation,Seaspan Corporation,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,8495,12000,68530,,,,,,132.5,N,11K98ME7.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24.5,14.61,42.8,MAN Energy Solutions,South Korea,Canada,2082,Containerships,250
COSCO Philippines,Fully Cellular Container,91051,101200,2010,334,In Service,Seaspan Corporation,Seaspan Corporation,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,8495,12000,68530,,,,,,132.5,N,11K98ME7.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24.5,14.61,42.8,MAN Energy Solutions,South Korea,Canada,2083,Containerships,250
COSCO Malaysia,Fully Cellular Container,91051,102834,2010,334,In Service,Seaspan Corporation,Seaspan Corporation,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,8495,12000,68530,,,,,,132.5,N,11K98ME7.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24.5,14.61,42.8,MAN Energy Solutions,South Korea,Canada,2084,Containerships,250
COSCO Thailand,Fully Cellular Container,91051,101200,2010,334,In Service,Seaspan Corporation,Seaspan Corporation,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,8495,12000,68530,,,,,,132.5,N,11K98ME7.2,K98,Diesel 2-Stroke,"Neo-Panamax 8-11,999 TEU",,MAN B. & W.,24.5,14.61,42.8,MAN Energy Solutions,South Korea,Canada,2086,Containerships,250
