Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Price (NB),Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Ever Govern,Fully Cellular Container,217612,198937,2019,399.99,In Service,Shoei Kisen Kaisha,Imabari Shipbuilding,Evergreen Marine,Panama,Fitted,IFO 380,Diesel 2-Stroke,,20150,,59250,IFO 380,,22.8,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,21,16,59,MAN Energy Solutions,Japan,Japan,1878,Containerships,
Ever Greet,Fully Cellular Container,217612,198937,2019,399.99,In Service,Shoei Kisen Kaisha,Imabari Shipbuilding,Evergreen Marine,Panama,Fitted,IFO 380,Diesel 2-Stroke,,20150,,59250,IFO 380,,22.8,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,21,16,59,MAN Energy Solutions,Japan,Japan,1837,Containerships,
Ever Given,Fully Cellular Container,217612,199489,2018,399.99,In Service,Shoei Kisen Kaisha,Imabari Shipbuilding,Evergreen Marine,Panama,,IFO 380,Diesel 2-Stroke,,20150,,59250,,,22.8,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,21,16,59,MAN Energy Solutions,Japan,Japan,1833,Containerships,
Ever Grade,Fully Cellular Container,217612,199489,2019,399.99,In Service,Shoei Kisen Kaisha,Imabari Shipbuilding,Evergreen Marine,Panama,Fitted,IFO 380,Diesel 2-Stroke,,20150,,59250,,,,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,21,16,59,MAN Energy Solutions,Japan,Japan,1834,Containerships,
Ever Goods,Fully Cellular Container,217612,199692,2018,399.99,In Service,Shoei Kisen Kaisha,Imabari Shipbuilding,Evergreen Marine,Panama,,IFO 380,Diesel 2-Stroke,,20150,,59250,,,22.8,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,21,16,59,MAN Energy Solutions,Japan,Japan,1876,Containerships,
Ever Gentle,Fully Cellular Container,217612,199489,2019,399.99,In Service,Shoei Kisen Kaisha,Imabari Shipbuilding,Evergreen Marine,Liberia,,IFO 380,Diesel 2-Stroke,,20150,19200,59300,IFO 380,,22.8,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,22.8,16,59,MAN Energy Solutions,Japan,Japan,1877,Containerships,
COSCO Shipping Galaxy,Fully Cellular Container,215553,198070,2019,399.9,In Service,COSCO Shipping Lines,China COSCO Shipping,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,20988,,57900,,,,,,140.32,N,12S90ME-C10.5,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,22,16,58.6,MAN Energy Solutions,China P.R.,China P.R.,H1420,Containerships,
COSCO Shipping Solar,Fully Cellular Container,215553,197820,2019,399.9,In Service,COSCO Shipping Lines,China COSCO Shipping,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,20988,,57900,,,,,,140.32,N,12S90ME-C10.5,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,22,16,58.6,MAN Energy Solutions,China P.R.,China P.R.,H1427,Containerships,
COSCO Shipping Star,Fully Cellular Container,215553,197976,2019,399.9,In Service,COSCO Shipping Lines,China COSCO Shipping,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,20988,,57900,,,,,,140.32,N,12S90ME-C10.5,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,22,16,58.6,MAN Energy Solutions,China P.R.,China P.R.,H1428,Containerships,
COSCO Shipping Universe,Fully Cellular Container,215553,198485,2018,399.9,In Service,COSCO Shipping Lines,China COSCO Shipping,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,20988,,57900,,,,,,140.32,N,12S90ME-C10.5,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,22,16,58.6,MAN Energy Solutions,China P.R.,China P.R.,H1416,Containerships,
COSCO Shipping Nebula,Fully Cellular Container,215553,198485,2018,399.9,In Service,COSCO Shipping Lines,China COSCO Shipping,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,20988,,57900,,,,,,140.32,N,12S90ME-C10.5,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,22,16,58.6,MAN Energy Solutions,China P.R.,China P.R.,H1417,Containerships,
COSCO Shipping Planet,Fully Cellular Container,215553,198195,2019,399.9,In Service,COSCO Shipping Lines,China COSCO Shipping,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,20988,,73200,,,,,,140.32,N,12S90ME-C10.5,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,22,16,58.6,MAN Energy Solutions,China P.R.,China P.R.,H1429,Containerships,
Madrid Maersk,Fully Cellular Container,214286,190326,2017,399,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,Fitted,IFO 380,Hybrid Mech./Elec.,,20568,8000,62000,,,,,,163.63,N,7G80ME-C9.5,G80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,21.5,16.5,58.6,MAN Energy Solutions,South Korea,Denmark,4302,Containerships,
Moscow Maersk,Fully Cellular Container,214286,190326,2017,399,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Hybrid Mech./Elec.,,19630,8000,62000,,,,,,163.63,N,7G80ME-C9.5,G80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,58.6,MAN Energy Solutions,South Korea,Denmark,4304,Containerships,
Monaco Maersk,Fully Cellular Container,214286,190326,2017,399,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Hybrid Mech./Elec.,,20568,8000,62000,,,,,,163.63,N,7G80ME-C9.5,G80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,58.6,MAN Energy Solutions,South Korea,Denmark,4306,Containerships,
Manchester Maersk,Fully Cellular Container,214286,190326,2018,399,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Hybrid Mech./Elec.,,20568,8000,62000,,,,,,163.63,N,7G80ME-C9.5,G80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,58.6,MAN Energy Solutions,South Korea,Denmark,4308,Containerships,
Munich Maersk,Fully Cellular Container,214286,190326,2017,399,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Hybrid Mech./Elec.,,20568,8000,62000,,,,,,163.63,N,7G80ME-C9.5,G80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,58.6,MAN Energy Solutions,South Korea,Denmark,4303,Containerships,
Milan Maersk,Fully Cellular Container,214286,190326,2017,399,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Hybrid Mech./Elec.,,20568,8000,62000,,,,,,163.63,N,7G80ME-C9.5,G80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,58.6,MAN Energy Solutions,South Korea,Denmark,4305,Containerships,
Marseille Maersk,Fully Cellular Container,214286,190326,2018,399,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,Fitted,IFO 380,Hybrid Mech./Elec.,,20568,8000,62000,,,,,,163.63,N,7G80ME-C9.5,G80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,58.6,MAN Energy Solutions,South Korea,Denmark,4307,Containerships,
Murcia Maersk,Fully Cellular Container,214286,190326,2018,399,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Hybrid Mech./Elec.,,20568,8000,62000,,,,,,163.63,N,7G80ME-C9.5,G80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,58.6,MAN Energy Solutions,South Korea,Denmark,4309,Containerships,
Manila Maersk,Fully Cellular Container,214286,190326,2018,399,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Hybrid Mech./Elec.,,20568,8000,62000,,,,,,163.63,N,7G80ME-C9.5,G80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,58.6,MAN Energy Solutions,South Korea,Denmark,4310,Containerships,
Mumbai Maersk,Fully Cellular Container,214286,190326,2018,399,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Hybrid Mech./Elec.,,20568,8000,62000,,,,,,163.63,N,7G80ME-C9.5,G80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,58.6,MAN Energy Solutions,South Korea,Denmark,4311,Containerships,
Maastricht Maersk,Fully Cellular Container,214286,190326,2019,399,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Hybrid Mech./Elec.,,20568,8000,62000,IFO 380,,,,,163.63,N,7G80ME-C9.5,G80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,58.6,MAN Energy Solutions,South Korea,Denmark,4312,Containerships,
OOCL Hong Kong,Fully Cellular Container,210890,191422,2017,399.87,In Service,OOCL,China COSCO Shipping,OOCL,Hong Kong,,IFO 380,Diesel 2-Stroke,,21413,19200,61530,,,23,,,158.6,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,23,16,58.8,MAN Energy Solutions,South Korea,China P.R.,2172,Containerships,
OOCL Germany,Fully Cellular Container,210890,191688,2017,399.87,In Service,OOCL,China COSCO Shipping,OOCL,Hong Kong,,IFO 380,Diesel 2-Stroke,,21413,19200,61530,,,23,,,158.6,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,23,16,58.8,MAN Energy Solutions,South Korea,China P.R.,2173,Containerships,
OOCL Indonesia,Fully Cellular Container,210890,191374,2018,399.87,In Service,OOCL,China COSCO Shipping,OOCL,Hong Kong,,IFO 380,Diesel 2-Stroke,,21413,19200,61530,,,23,,,158.6,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,23,16,58.8,MAN Energy Solutions,South Korea,China P.R.,2177,Containerships,
OOCL Japan,Fully Cellular Container,210890,191640,2017,399.87,In Service,OOCL,China COSCO Shipping,OOCL,Hong Kong,,IFO 380,Diesel 2-Stroke,,21413,19200,61530,,,23,,,158.6,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,23,16,58.8,MAN Energy Solutions,South Korea,China P.R.,2174,Containerships,
OOCL United Kingdom,Fully Cellular Container,210890,191570,2017,399.87,In Service,OOCL,China COSCO Shipping,OOCL,Hong Kong,,IFO 380,Diesel 2-Stroke,,21413,19200,61530,,,23,,,158.6,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,23,16,58.8,MAN Energy Solutions,South Korea,China P.R.,2175,Containerships,
OOCL Scandinavia,Fully Cellular Container,210890,191343,2017,399.87,In Service,OOCL,China COSCO Shipping,OOCL,Hong Kong,,IFO 380,Diesel 2-Stroke,,21413,19200,61530,,,23,,,158.6,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,23,16,58.8,MAN Energy Solutions,South Korea,China P.R.,2176,Containerships,
MOL Truth,Fully Cellular Container,210691,218000,2017,400,In Service,Shoei Kisen Kaisha,Imabari Shipbuilding,ONE,Panama,,IFO 380,Diesel 2-Stroke,,20150,,56380,,,,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,21,16,58.5,MAN Energy Solutions,Japan,Japan,8180,Containerships,
MOL Treasure,Fully Cellular Container,210691,218000,2018,400,In Service,Shoei Kisen Kaisha,Imabari Shipbuilding,ONE,Panama,,IFO 380,Diesel 2-Stroke,,20150,,56380,,,,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,21,16,58.5,MAN Energy Solutions,Japan,Japan,1800,Containerships,
MOL Trust,Fully Cellular Container,210678,197059,2017,400,In Service,Mitsui OSK Lines,Mitsui OSK Lines,ONE,Marshall Is.,,IFO 380,Diesel 2-Stroke,,20150,,59250,,,,,,154.89,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,21,16,58.8,MAN Energy Solutions,South Korea,Japan,2168,Containerships,
MOL Tribute,Fully Cellular Container,210678,197106,2017,400,In Service,Mitsui OSK Lines,Mitsui OSK Lines,ONE,Marshall Is.,,IFO 380,Diesel 2-Stroke,,20150,,59250,,,,,,154.89,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,21,16,58.8,MAN Energy Solutions,South Korea,Japan,2169,Containerships,
MOL Triumph,Fully Cellular Container,199000,197500,2017,400,In Service,Mitsui OSK Lines,Mitsui OSK Lines,ONE,Marshall Is.,,IFO 380,Diesel 2-Stroke,,20150,,59250,,,,,,154.89,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,21,16,58.8,MAN Energy Solutions,South Korea,Japan,2167,Containerships,
