Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Gebe Oldendorff,Bulk Carrier,44218,80943,2016,229,In Service,Oldendorff Carriers,Oldendorff Carriers,Oldendorff Carriers,Madeira,Fitted,IFO 380,Diesel 2-Stroke,,,,11900,,,,,IC,3,,Y,5S60ME-C8.2,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,15,14.45,32.26,MAN Energy Solutions,China P.R.,Germany,JLZ8120430,Bulkers,
Gerdt Oldendorff,Bulk Carrier,44218,80446,2014,229,In Service,Oldendorff Carriers,Oldendorff Carriers,Oldendorff Carriers,Madeira,Fitted,IFO 380,Diesel 2-Stroke,,,,11900,,,,,IC,3,,Y,5S60ME-C8.2,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.45,32.26,MAN Energy Solutions,China P.R.,Germany,JLZ8120426,Bulkers,
Gisela Oldendorff,Bulk Carrier,44218,80839,2015,229,Repairs,Oldendorff Carriers,Oldendorff Carriers,,Madeira,Fitted,IFO 380,Diesel 2-Stroke,,,,11900,,,,,IC,3,,Y,5S60ME-C8.2,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.45,32.26,MAN Energy Solutions,China P.R.,Germany,JLZ8120429,Bulkers,
Gertrude Oldendorff,Bulk Carrier,44218,80959,2016,229,In Service,Oldendorff Carriers,Oldendorff Carriers,Oldendorff Carriers,Madeira,Fitted,IFO 380,Diesel 2-Stroke,,,,11900,,,,,IC,3,,Y,5S60ME-C8.2,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,15,14.45,32.26,MAN Energy Solutions,China P.R.,Germany,JLZ8120431,Bulkers,
Chang Xin 66,Bulk Carrier,43746,80013,2012,229,In Service,Changxin Trans,Changxin Trans,Changxin Trans,China P.R.,,IFO 380,Diesel 2-Stroke,,,,11620,IFO 380,,,,Category II,1,43,Y,7RT-flex50-B,flex50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,Wartsila 2-stroke,14,14.58,32.26,CSSC,China P.R.,China P.R.,GH402D,Bulkers,
Nord Beluga,Bulk Carrier,43729,81841,2015,228.99,In Service,Norden A/S,Norden A/S,Norden A/S,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,2424,14280,,,,,IC,3,,Y,6S60ME-C8.2,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.49,32.26,MAN Energy Solutions,Japan,Denmark,10743,Bulkers,
Nord Penguin,Bulk Carrier,43729,81841,2015,228.99,In Service,Norden A/S,Norden A/S,Norden A/S,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,2424,14280,,,,,IC,3,,Y,6S60ME-C8.2,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.49,32.26,MAN Energy Solutions,Japan,Denmark,10742,Bulkers,
Ada,Bulk Carrier,43729,81841,2016,228.99,In Service,Eastern Med,Eastern Med,Eastern Med,Malta,,IFO 380,Diesel 2-Stroke,,,2424,9660,,,,,IC,3,,Y,6S60ME-C8.2,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,13.5,14.49,32.26,MAN Energy Solutions,Japan,Greece,10778,Bulkers,33
Countess I,Bulk Carrier,43717,79234,2013,229,In Service,Verano Mgmt,Verano Mgmt,Verano Mgmt,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,11620,,,,,IC,3,35,Y,7S50MC-C8.2,S50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,13.5,14.62,32.26,MAN Energy Solutions,China P.R.,Marshall Is.,10C-001,Bulkers,36
Ulusoy-12,Bulk Carrier,43717,79403,2011,229,In Service,Ulusoy Denizyollari,Ulusoy Denizyollari,Oldendorff Carriers,Turkey,,IFO 380,Diesel 2-Stroke,,,2664,11620,,,,,Category II,1,,Y,7RT-flex50-D,flex50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,Wartsila 2-stroke,14,14.62,32.26,CSSC,China P.R.,Turkey,06C-016,Bulkers,
Zagreb,Bulk Carrier,43717,80300,2008,229,In Service,Atlantska Plovidba,Atlantska Plovidba,Atlantska Plovidba,Croatia,,IFO 380,Diesel 2-Stroke,,,,11620,,,,,,0,,Y,7RT-flex50-B,flex50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,Wartsila 2-stroke,14.3,14.62,32.26,CSSC,China P.R.,Croatia,05C-061,Bulkers,
Lucky Sunday,Bulk Carrier,43717,80372,2009,229.04,In Service,Profy PP,Profy PP,Profy PP,Panama,,IFO 380,Diesel 2-Stroke,,,2664,11620,,,,,Category II,1,,Y,7RT-flex50-B,flex50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,Wartsila 2-stroke,14.3,14.62,32.27,CSSC,China P.R.,Ukraine,05C-063,Bulkers,
Giorgakis,Bulk Carrier,43717,79791,2011,229,In Service,Sea Traders,Dynacom Tankers Mgmt,Sea Traders,Malta,,IFO 380,Diesel 2-Stroke,,,,11620,IFO 380,,,,Category II,1,43,Y,7RT-flex50-B,flex50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,Wartsila 2-stroke,12.25,14.58,32.26,CSSC,China P.R.,Greece,GH402C,Bulkers,30.5
AP Argosy,Bulk Carrier,43717,79223,2012,229,In Service,Atlantska Plovidba,Atlantska Plovidba,Atlantska Plovidba,Croatia,,IFO 380,Diesel 2-Stroke,,,,11620,,,,,IC,3,,Y,7S50MC-C8.2,S50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.62,32.26,MAN Energy Solutions,China P.R.,Croatia,08C-003,Bulkers,39
Bonneville,Bulk Carrier,43717,79403,2010,229.04,In Service,Technomar Shipping,Technomar Shipping,Technomar Shipping,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,2664,12215,,,,,Category II,1,,Y,7RT-flex50-D,flex50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,Wartsila 2-stroke,13.5,14.62,32.26,CSSC,China P.R.,Greece,06C-013,Bulkers,
Thunderbird,Bulk Carrier,43717,79508,2011,229.04,In Service,Technomar Shipping,Technomar Shipping,Technomar Shipping,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,2664,12215,,,,,Category II,1,,Y,7RT-flex50-D,flex50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,Wartsila 2-stroke,13.5,14.62,32.26,CSSC,China P.R.,Greece,06C-014,Bulkers,35
AP Jadran,Bulk Carrier,43717,79222,2012,229,In Service,Atlantska Plovidba,Atlantska Plovidba,Atlantska Plovidba,Croatia,,IFO 380,Diesel 2-Stroke,,,,11620,,,,,IC,3,,Y,7S50MC-C8.2,S50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.62,32.26,MAN Energy Solutions,China P.R.,Croatia,08C-004,Bulkers,
La Donna I,Bulk Carrier,43717,79104,2014,229,In Service,NGM Energy,"Moundreas, N.G.",NGM Energy,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,11620,,,,,IC,3,35,Y,7S50MC-C8.2,S50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,13.5,14.62,32.26,MAN Energy Solutions,China P.R.,Greece,10C-002,Bulkers,36
