DATE,GDPDEF
01/01/2009,95.00275
01/01/2010,96.10675
01/01/2011,98.11525
01/01/2012,99.99875
01/01/2013,101.75125
01/01/2014,103.63225
01/01/2015,104.6225
01/01/2016,105.719
01/01/2017,107.705
01/01/2018,110.29175
01/01/2019,112.2615
01/01/2020,113.61
