Ice_free,New_ice,Grey_ice,Grey_White_ice,Thin_First_year_ice_first_stage,Thin_First_year_Ice_Second_stage,Medium_First_year_Ice_less_than_onem,Medium_First_year_Ice,Thick_First_Year_Ice,Second_Year_Ice,Multi_Year_Ice
3,2,2,2,1,0,-1,-2,-3,-4,-5
3,1,0,-1,-2,-3,-4,-5,-6,-7,-8
