Average Engine load
0.52
0.52
0.52
0.52
0.52
0.6
0.6
0.6
0.6
0.6
0.57
0.57
0.57
0.57
0.57
0.54
0.54
0.54
0.54
0.54
0.5
0.5
0.5
0.5
0.5
0.48
0.48
0.48
0.48
0.48
0.46
0.46
0.46
0.46
0.46
0.39
0.39
0.39
0.39
0.39
0.33
0.33
0.33
0.33
0.33
0.34
0.34
0.34
0.34
0.34
0.4
0.4
0.4
0.4
0.4
0.41
0.41
0.41
0.41
0.41
0.56
0.56
0.56
0.56
0.56
0.46
0.46
0.46
0.46
0.46
0.49
0.49
0.49
0.49
0.49
0.54
0.54
0.54
0.54
0.54
0.51
0.51
0.51
0.51
0.51
0.53
0.53
0.53
0.53
0.53
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.48
